月別,計,大島,利島,新島,式根島,神津島,三宅島,御蔵島,八丈島,青ヶ島,その他
平成29年件数,423,59,5,31,3,20,39,3,37,2,224
平成29年輸送人員,274,57,5,31,3,19,37,3,34,2,83
平成30年件数,466,82,4,21,7,20,34,7,42,1,248
平成30年輸送人員,264,73,4,22,6,18,31,5,38,1,66
令和元年件数,418,62,8,29,8,22,40,5,44,6,194
令和元年輸送人員,252,55,7,25,8,19,38,4,35,6,55
令和2年件数,367,54,0,24,16,15,19,4,43,3,189
令和2年輸送人員,209,49,0,21,16,13,17,4,34,3,52
令和3年件数,321,71,4,15,11,29,34,3,36,1,117
令和3年輸送人員,229,58,3,13,10,24,29,2,34,1,55
1月件数,24,9,0,0,0,1,4,1,3,0,6
1月輸送人員,17,6,0,0,0,1,3,1,2,0,4
2月件数,33,5,1,1,0,2,1,0,4,0,19
2月輸送人員,24,4,1,1,0,2,1,0,4,0,11
3月件数,23,3,0,4,0,2,4,2,4,0,4
3月輸送人員,16,2,0,2,0,2,2,1,4,0,3
4月件数,29,7,0,3,4,0,2,0,3,0,10
4月輸送人員,21,6,0,3,3,0,2,0,3,0,4
5月件数,20,3,1,1,0,6,1,0,0,0,8
5月輸送人員,15,3,1,1,0,4,1,0,0,0,5
6月件数,27,9,0,0,1,4,2,0,1,0,10
6月輸送人員,18,6,0,0,1,4,2,0,1,0,4
7月件数,28,5,0,2,2,0,2,0,2,0,15
7月輸送人員,17,4,0,2,2,0,2,0,2,0,5
8月件数,27,10,0,0,0,0,1,0,4,0,12
8月輸送人員,18,9,0,0,0,0,1,0,4,0,4
9月件数,24,7,0,2,0,0,3,0,3,0,9
9月輸送人員,17,7,0,2,0,0,3,0,3,0,2
10月件数,23,4,0,0,2,4,3,0,3,1,6
10月輸送人員,21,4,0,0,2,4,3,0,3,1,4
11月件数,31,7,0,0,0,3,4,0,7,0,10
11月輸送人員,21,5,0,0,0,2,3,0,6,0,5
12月件数,32,2,2,2,2,7,7,0,2,0,8
12月輸送人員,24,2,1,2,2,5,6,0,2,0,4
