事故種別,内容,救急搬送人員（人）,,,,
ころぶ,階段,1165,,,,
ころぶ,段差,490,,,,
ころぶ,自転車,332,,,,
ころぶ,椅子,186,,,,
ころぶ,エスカレーター,174,,,,
落ちる,階段,2158,,,,
落ちる,脚立・踏み台・足場,306,,,,
落ちる,自動車,146,,,,
落ちる,椅子,126,,,,
落ちる,ベッド,124,,,,
ぶつかる,人,399,,,,
ぶつかる,ボール,144,,,,
ぶつかる,その他の家具,137,,,,
ぶつかる,壁・天井,133,,,,
ぶつかる,手動ドア,113,,,,
切る・刺さる,ナイフ,868,,,,
切る・刺さる,食器類,246,,,,
切る・刺さる,スライサー,118,,,,
切る・刺さる,電気のこぎり,112,,,,
切る・刺さる,針・ヘアピン・釘等,60,,,,
はさむ・はさまれる,自動車,68,,,,
はさむ・はさまれる,手動ドア,67,,,,
はさむ・はさまれる,その他の機械,65,,,,
はさむ・はさまれる,フォークリフト,40,,,,
はさむ・はさまれる,プレス機,34,,,,
ものがつまる等,洗剤等,73,,,,
ものがつまる等,肉,57,,,,
ものがつまる等,包み・袋,44,,,,
ものがつまる等,食物,43,,,,
ものがつまる等,薬剤等,29,,,,
やけど,鍋,65,,,,
やけど,天ぷら油,61,,,,
やけど,熱湯,46,,,,
やけど,ポット・魔法瓶,44,,,,
やけど,味噌汁・スープ,24,,,,
かまれる・刺される,動物等,226,,,,
かまれる・刺される,虫,177,,,,
かまれる・刺される,魚貝類,7,,,,
かまれる・刺される,人,5,,,,
かまれる・刺される,不明,1,,,,
おぼれる,浴槽,24,,,,
おぼれる,河川,5,,,,
おぼれる,海,2,,,,
おぼれる,船,1,,,,
