区分,計・件数,計・時間,ちどり・件数,ちどり・時間,旧ひばり・件数,旧ひばり・時間,ひばり・件数,ひばり・時間,かもめ・件数,かもめ・時間,ゆりかもめ・件数,ゆりかもめ・時間,つばめ・件数,つばめ・時間,はくちょう・件数,はくちょう・時間,こうのとり・件数,こうのとり・時間,おおたか・件数,おおたか・時間
平成29年,"1,767",2170:27,218,260:24,147,196:44,-,-,273,302:04,190,263:57,278,289:06,240,323:39,185,257:27,236,277:06
平成30年,"1,755",2163:26,131,168:02,130,175:51,-,-,225,266:03,205,256:59,307,306:12,241,352:53,231,325:21,285,312:05
令和元年,"1,607",2023:43,256,294:17,213,306:09,-,-,257,289:10,180,253:56,92,85:29,136,195:41,225,302:02,248,296:59
令和2年,"1,764",2137:05,168,196:16,164,199:19,118,6,175,195:53,209,267:03,242,271:35,208,272:07,194,245:39,286,334:34
令和3年,"1,525",2115:36,213,269:43, - ,-,138,213:28,313,402:13,147,184:30,185,258:35,113,170:02,213,282:31,203,334:34
火災, 54 ,60:26, 11 ,14:06, - ,-, 1 ,0:32, 21 ,30:39, - ,-, 1 ,0:20, 1 ,8:25,-,-, 19 ,6:24
救急, 321 ,373:25, 40 ,28:30, - ,-, 32 ,45:37, 40 ,35:39, 44 ,49:06, 15 ,10:01, 49 ,75:21,84,113:42, 17 ,15:29
救難, 54 ,52:51, 15 ,13:08, - ,-, - ,2:53, 11 ,9:06, 9 ,6:20, 6 ,6:41, 1 ,5:48,4,7:27, 8 ,1:28
非常時災害, 8 ,25:30, 2 ,7:15, - ,-, 1 ,1:07, - ,-, - ,-, 4 ,16:18, - ,-,-,-, 1 ,0:50
演習, 4 ,9:45, 1 ,0:30, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-,2,2:50, 1 ,6:25
調査, 5 ,6:40, - ,1:55, - ,-, 1 ,0:25, - ,-, - ,-, 1 ,0:35, 1 ,1:35,2,2:10, - ,-
警戒, 1 ,2:30, 1 ,0:35, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-,-,-, - ,1:55
広報, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-, - ,-,-,-, - ,-
航空写真, 8 ,15:13, 1 ,1:30, - ,-, - ,-, 4 ,4:23, - ,-, 2 ,3:10, - ,-,-,-, 1 ,6:10
輸送, 132 ,84:25, 9 ,6:58, - ,-, 10 ,7:13, 26 ,14:08, 4 ,4:20, 15 ,13:06, 15 ,10:15,26,14:45, 27 ,13:40
検査, 15 ,29:23, 3 ,6:50, - ,-, 1 ,1:50, 3 ,4:13, 3 ,5:10, 3 ,5:15, 1 ,1:30,-,-, 1 ,4:35
試験, 76 ,81:27, 13 ,11:45, - ,-, 6 ,9:32, 11 ,9:55, 8 ,6:40, 10 ,9:25, 8 ,8:35,13,17:25, 7 ,8:10
実験, 4 ,4:10, 1 ,1:30, - ,-, - ,-, 1 ,1:15, - ,-, - ,-, - ,-,-,-, 2 ,1:25
特救隊訓練, 18 ,17:45, - ,-, - ,-, 1 ,2:35, 6 ,7:40, 1 ,1:00, - ,-, 2 ,2:50,2,2:20, 6 ,1:20
自隊訓練, 677 ,1128:39, 108 ,163:31, - ,-, 75 ,126:36, 146 ,215:25, 62 ,88:44, 112 ,170:00, 21 ,32:25,55,88:07, 98 ,243:51
養成訓練, 122 ,172:14, 7 ,10:25, - ,-, 8 ,11:30, 44 ,64:45, 15 ,21:05, 16 ,23:44, 7 ,9:50,13,18:50, 12 ,12:05
行事教養, 4 ,21:17, 1 ,1:15, - ,-, - ,-, - ,5:05, - ,-, - ,-, - ,4:10,-,-, 3 ,10:47
行政, 22 ,29:56, - ,-, - ,-, 2 ,3:38, - ,-, 1 ,2:05, - ,-, 7 ,9:18,12,14:55, - ,-
