,本部・消防署・出張所名,郵便番号,所在,電話番号,緯度,経度
1,東京消防庁本部,100-0004,東京都千代田区大手町一丁目,332122111,35.6888118,139.7615929
2,東京消防庁消防学校,151-0066,東京都渋谷区西原二丁目51番1号 ,334661511,35.6722766,139.6734853
3,東京消防庁装備工場,151-0072,東京都渋谷区幡ヶ谷一丁目13番20号,334661514,35.6731402,139.672568
4,東京消防庁江東航空センター,136-0082,東京都江東区新木場四丁目7番25号,335215811,35.6354075,139.8370994
5,第一消防方面本部,102-0083,東京都千代田区麹町一丁目12番,332220119,35.6850786,139.7431702
6,丸の内消防署,100-0004,東京都千代田区大手町一丁目3番5号,332150119,35.6885509,139.7616536
7,丸の内消防署有楽町出張所,100-0005,東京都千代田区丸の内三丁目8番1号,332130119,35.6763368,139.7656299
8,麹町消防署,102-0083,東京都千代田区麹町一丁目12番地,332640119,35.6850786,139.7431702
9,麹町消防署永田町出張所,100-0014,東京都千代田区永田町一丁目8番3号,335800119,35.6788883,139.7459838
10,神田消防署,101-0021,東京都千代田区外神田四丁目14番3号,332570119,35.701375,139.773021
11,神田消防署鍛冶町出張所,101-0044,東京都千代田区鍛冶町二丁目3番2号,332580119,35.6912818,139.7720969
12,神田消防署三崎町出張所,101-0061,東京都千代田区三崎町三丁目3番9号,332950119,35.7000642,139.7520664
13,京橋消防署,104-0031,東京都中央区京橋三丁目14番1号,335640119,35.674364,139.772242
14,京橋消防署築地出張所,104-0044,東京都中央区明石町1番27号,335450119,35.6685536,139.7753835
15,京橋消防署銀座出張所,104-0061,東京都中央区銀座七丁目11番17号,335740119,35.6686505,139.7639175
16,日本橋消防署,103-0026,東京都中央区日本橋兜町14番12号,336660119,35.680122,139.777558
17,日本橋消防署堀留出張所,103-0012,東京都中央区日本橋堀留町一丁目2番6号,336610119,35.6885152,139.7786356
18,日本橋消防署人形町出張所,103-0013,東京都中央区日本橋人形町二丁目27番8号,336690119,35.6875905,139.7849685
19,日本橋消防署浜町出張所,103-0007,東京都中央区日本橋浜町三丁目45番12号,336640119,35.6852503,139.7916822
20,臨港消防署,104-0053,東京都中央区晴海五丁目8番20号,335340119,35.6495019,139.7707318
21,臨港消防署月島出張所,104-0054,東京都中央区勝どき四丁目6番3号,335330119,35.6569296,139.7767499
22,芝消防署,105-0021,東京都港区東新橋二丁目13番7号,334310119,35.6602568,139.7564794
23,芝消防署芝浦出張所,108-0022,東京都港区海岸三丁目4番14号,334520119,35.6389058,139.7527705
24,芝消防署三田出張所,108-0073,東京都港区三田二丁目15番53号,334540119,35.6483573,139.7417117
25,麻布消防署,106-0046,東京都港区元麻布三丁目4番42号,334700119,35.657106,139.727282
26,麻布消防署飯倉出張所,106-0044,東京都港区東麻布一丁目30番5号,335840119,35.6549602,139.7426837
27,赤坂消防署,107-0062,東京都港区南青山二丁目16番9号,334780119,35.669013,139.720904
28,赤坂消防署新町出張所,107-0052,東京都港区赤坂六丁目17番6号,335050119,35.6688958,139.7336643
29,高輪消防署,108-0072,東京都港区白金二丁目4番12号,334460119,35.6409424,139.7327508
30,高輪消防署三光出張所,108-0072,東京都港区白金五丁目12番11号,334410119,35.6451803,139.7241096
31,高輪消防署港南出張所,108-0075,東京都港区港南五丁目8番34号,334580119,35.6332272,139.755409
32,高輪消防署二本榎出張所,108-0074,東京都港区高輪二丁目6番17号,334730119,35.6357611,139.7332572
33,第二消防方面本部,143-0012,東京都大田区大森東一丁目32番8号,337630119,35.5788124,139.7393337
34,品川消防署,140-0001,東京都品川区北品川三丁目7番31号,334740119,35.6170186,139.7396844
35,品川消防署東品川出張所,140-0002,東京都品川区東品川三丁目25番11号,334500119,35.6128882,139.747349
36,品川消防署大崎出張所,141-0033,東京都品川区西品川一丁目7番9号,334940119,35.6135714,139.7316156
37,品川消防署五反田出張所,141-0031,東京都品川区西五反田七丁目25番14号,334920119,35.6199938,139.7184783
38,大井消防署,140-0011,東京都品川区東大井三丁目6番12号,337650119,35.6034301,139.7401644
39,大井消防署滝王子出張所,140-0014,東京都品川区大井五丁目17番9号,337780119,35.5982954,139.7281448
40,大井消防署八潮出張所,140-0003,東京都品川区八潮五丁目8番3号,337990119,35.5971278,139.7516027
41,荏原消防署,142-0051,東京都品川区平塚三丁目16番20号,337860119,35.6145471,139.7104804
42,荏原消防署戸越出張所,142-0041,東京都品川区戸越五丁目20番15号,337850119,35.6083138,139.7187404
43,荏原消防署小山出張所,142-0062,東京都品川区小山五丁目12番11号,337810119,35.6160549,139.7022461
44,荏原消防署旗の台出張所,142-0064,東京都品川区旗の台六丁目24番11号,337830119,35.6056799,139.7000486
45,大森消防署,143-0012,東京都大田区大森東一丁目32番8号,337660119,35.578838,139.739398
46,大森消防署馬込出張所,143-0025,東京都大田区南馬込五丁目2番3号,337760119,35.591444,139.709966
47,大森消防署市野倉出張所,143-0024,東京都大田区中央八丁目1番14号,337550119,35.5749247,139.711547
48,大森消防署山谷出張所,143-0015,東京都大田区大森西五丁目14番５号,337620119,35.5696909,139.7299603
49,大森消防署森ヶ崎出張所,143-0013,東京都大田区大森南三丁目33番8号,337420119,35.5645821,139.7456878
50,田園調布消防署,145-0067,東京都大田区雪谷大塚町13番22号,337270119,35.5898234,139.6776184
51,田園調布消防署雪谷出張所,145-0065,東京都大田区東雪谷四丁目4番1号,337290119,35.5942714,139.6917903
52,田園調布消防署久が原出張所,146-0085,東京都大田区久が原二丁目16番3号,337540119,35.5824796,139.6957457
53,蒲田消防署,144-0053,東京都大田区蒲田本町二丁目28番1号,337350119,35.5556951,139.719864
54,蒲田消防署空港分署,144-0041,東京都大田区羽田空港一丁目1番2号,337470119,35.5491125,139.7532091
55,蒲田消防署羽田出張所,144-0044,東京都大田区本羽田三丁目1番2号,337450119,35.5489841,139.7336894
56,蒲田消防署六郷出張所,144-0045,東京都大田区南六郷二丁目33番5号,337310119,35.5461424,139.7214098
57,矢口消防署,146-0095,東京都大田区多摩川二丁目5番20号,337580119,35.559554,139.699264
58,矢口消防署下丸子出張所,146-0092,東京都大田区下丸子三丁目22番8号,337590119,35.5681889,139.6856977
59,矢口消防署西蒲田出張所,144-0051,東京都大田区西蒲田七丁目33番1号,337370119,35.5633454,139.7118015
60,矢口消防署西六郷出張所,144-0056,東京都大田区西六郷四丁目1番3号,337390119,35.5447222,139.7073693
