着火物,計,出火に至った時間・0分以上～15分未満,出火に至った時間・15分以上～30分未満,出火に至った時間・30分以上～45分未満,出火に至った時間・45分以上～1時間未満,出火に至った時間・1時間以上～2時間未満,出火に至った時間・2時間以上～3時間未満,出火に至った時間・3時間以上～4時間未満,出火に至った時間・4時間以上～5時間未満,出火に至った時間・5時間以上～6時間未満,出火に至った時間・6時間以上～7時間未満,出火に至った時間・7時間以上～8時間未満,出火に至った時間・8時間以上～9時間未満,出火に至った時間・9時間以上～10時間未満,"出火に至った時間・10時間以上",出火に至った時間・不明
平成29年,328,43,28,31,15,54,25,15,6,3,3,2,1,2,-,100
平成30年,344,63,34,33,18,33,22,14,13,4,1,-,-,2,4,103
令和元年,338,78,32,38,7,43,26,11,7,1,2,1,-,1,3,88
令和2年,267,59,22,24,11,29,15,7,4,2,-,2,1,-,1,90
令和3年,280,64,30,36,11,27,15,8,6,2,1,1,-,-,2,77
ごみくず,155,37,17,25,7,15,7,4,4,1,-,-,-,-,2,36
布団等,61,12,3,5,3,8,5,2,2,1,1,1,-,-,-,18
その他の紙・紙製品,8,3,-,-,1,2,2,-,-,-,-,-,-,-,-,-
繊維製品・しゅろほうき,7,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-
紙くず,7,-,2,1,-,-,-,-,-,-,-,-,-,-,-,4
衣類,6,1,1,-,-,-,-,2,-,-,-,-,-,-,-,2
新聞紙・ちらし,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2
紙くず,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
その他,30,6,3,4,-,2,1,-,-,-,-,-,-,-,-,14
