区市町村,合計
千代田区,127
中央区,103
港区,213
新宿区,199
文京区,63
台東区,83
墨田区,81
江東区,129
品川区,106
目黒区,86
大田区,175
世田谷区,196
渋谷区,129
中野区,63
杉並区,101
豊島区,119
北区,97
荒川区,42
板橋区,135
練馬区,136
足立区,174
葛飾区,108
江戸川区,148
八王子市,173
立川市,73
武蔵野市,36
三鷹市,40
青梅市,44
府中市,69
昭島市,30
調布市,53
町田市,112
小金井市,25
小平市,35
日野市,51
東村山市,34
国分寺市,35
国立市,15
西東京市,33
福生市,20
狛江市,17
東大和市,20
清瀬市,17
東久留米市,37
武蔵村山市,22
多摩市,43
羽村市,23
あきる野市,37
瑞穂町,15
日の出町,8
檜原村,2
奥多摩町,3
