消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
令和3年度,"9,592",8,2,1,24,1,25,4,479,466,310,"2,342",10,13,26,68,71,0,0,1,14,29,0,94,17,54,39,170,9,6,6,16,79,318,0,43,0,199,517,2606,816,0,0,1,0,0,0,0,172,536,0,0,0
特別区,"7,102",8,2,1,19,0,21,4,380,267,193,"1,762",7,8,18,43,47,0,0,1,3,14,0,62,9,21,26,66,6,6,4,15,64,201,0,36,0,107,370,2228,610,0,0,1,0,0,0,0,122,350,0,0,0
丸の内,95,0,2,1,1,0,0,0,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,9,1,0,0,0
麹町,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,48,2,0,0,0,0,0,0,0,2,0,0,0,0
神田,195,0,0,0,1,0,1,0,4,27,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,76,34,28,0,0,0,0,0,0,0,5,3,0,0,0
京橋,279,0,0,0,0,0,0,1,24,14,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,17,184,12,0,0,0,0,0,0,0,5,2,0,0,0
日本橋,172,0,0,0,0,0,1,1,16,4,0,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,103,5,0,0,0,0,0,0,0,0,0,0,0,0
臨港,52,0,0,0,1,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9,1,10,5,0,0,0,0,0,0,0,0,4,0,0,0
芝,179,1,0,0,0,0,3,0,12,1,5,62,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,8,0,0,0,0,0,0,0,7,0,0,0,0
麻布,51,0,0,0,0,0,0,0,3,4,3,14,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,9,4,0,0,0,0,0,0,0,1,0,0,0,0
