消防署,クラブ数,クラブ員数,指導者数,消防少年団員数・指導者数計,消防少年団員数・学年別・小学生・小計,消防少年団員数・学年別・小学生・1年,消防少年団員数・学年別・小学生・2年,消防少年団員数・学年別・小学生・3年,消防少年団員数・学年別・小学生・4年,消防少年団員数・学年別・小学生・5年,消防少年団員数・学年別・小学生・6年,消防少年団員数・学年別・中学生・小計,消防少年団員数・学年別・中学生・1年,消防少年団員数・学年別・中学生・2年,消防少年団員数・学年別・中学生・3年,消防少年団員数・学年別・高校生・小計,消防少年団員数・学年別・高校生・1年,消防少年団員数・学年別・高校生・2年,消防少年団員数・学年別・高校生・3年,消防少年団員数・性別・男・小計,消防少年団員数・性別・男・小学生,消防少年団員数・性別・男・中学生,消防少年団員数・性別・男・高校生,消防少年団員数・性別・女・小計,消防少年団員数・性別・女・小学生,消防少年団員数・性別・女・中学生,消防少年団員数・性別・女・高校生,指導者数・指導者,指導者数・準指導者・一般,指導者数・準指導者・高校生,組織数,人員
平成29年,"1,564","193,880",0,"4,640","3,177",243,415,626,728,617,548,970,398,335,237,493,197,161,135,"2,397","1,642",502,253,"2,243","1,535",468,240,1000,971,0,81,"16,157"
平成30年,"1,754","197,073",0,"4,494","3,038",204,373,669,646,643,503,987,387,325,275,469,158,164,147,"2,294","1,531",531,232,"2,200","1,507",456,237,1012,840,0,81,"15,927"
令和元年,"1,554","193,082",0,"4,369","2,899",173,299,631,678,555,563,990,368,344,278,480,188,145,147,"2,235","1,483",511,241,"2,134","1,416",479,239,1028,947,0,81,"15,742"
令和2年,"1,572","194,007",0,"3,986","2,533",79,243,494,652,590,475,1063,419,329,315,390,203,181,130,"2,091","1,277",546,268,"2,019","1,256",517,246,1012,973,0,81,"15,405"
令和3年,"1,577","190,893",0,"4,163","2,595",200,231,552,553,565,494,1003,328,379,296,565,224,181,160,"2,065","1,256",503,306,"2,098","1,339",500,259,"1,033",833,0,81,"14,893"
令和4年,1547,"186,570",0,"4,198","2,586",155,289,508,619,517,498,1012,379,299,334,600,244,192,164,"2,082","1,255",513,314,"2,116","1,331",499,286,1020,825,0,81,"14,226"
特別区,1067,120357,0,3157,1988,143,248,374,452,387,384,728,277,196,255,441,177,143,121,1553,964,357,232,1604,1024,371,209,679,672,0,57,11409
丸の内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麹町,14,1206,0,71,48,11,12,2,12,4,7,20,10,5,5,3,1,0,2,34,27,6,1,37,21,14,2,8,3,0,1,160
神田,13,950,0,21,16,3,1,2,6,2,2,5,2,0,3,0,0,0,0,14,9,5,0,7,7,0,0,8,0,0,1,267
京橋,9,675,0,91,60,13,16,5,8,8,10,13,5,5,3,18,14,1,3,40,30,4,6,51,30,9,12,14,14,0,1,45
日本橋,3,496,0,151,118,32,33,18,14,11,10,21,14,1,6,12,3,3,6,80,62,9,9,71,56,12,3,15,187,0,1,142
臨港,31,2799,0,73,43,1,8,4,8,10,12,18,5,6,7,12,5,4,3,36,25,6,5,37,18,12,7,22,30,0,1,154
芝,1,315,0,127,114,43,36,14,9,5,7,8,2,3,3,5,0,4,1,52,47,2,3,75,67,6,2,9,6,0,1,46
麻布,4,592,0,44,28,3,4,6,8,3,4,10,5,3,2,6,1,3,2,25,14,8,3,19,14,2,3,4,10,0,1,90
赤坂,3,142,0,35,27,0,9,6,4,7,1,7,4,2,1,1,1,0,0,18,15,3,0,17,12,4,1,14,0,0,1,152
高輪,3,263,0,74,51,1,22,2,7,9,10,15,5,0,10,8,2,4,2,37,27,6,4,37,24,9,4,9,2,0,1,59
