事故種別,内容,救急搬送人員（人）,,,,
ころぶ,階段,80,,,,
ころぶ,机・テーブル,65,,,,
ころぶ,その他の家具,51,,,,
ころぶ,椅子,49,,,,
ころぶ,自転車,31,,,,
落ちる,階段,127,,,,
落ちる,自転車の補助イス,76,,,,
落ちる,椅子,74,,,,
落ちる,滑り台,66,,,,
落ちる,人,43,,,,
ぶつかる,人,72,,,,
ぶつかる,机・テーブル,58,,,,
ぶつかる,その他の家具,56,,,,
ぶつかる,壁・天井,30,,,,
ぶつかる,柱,23,,,,
ものがつまる等,ビー玉類,39,,,,
ものがつまる等,その他の玩具,29,,,,
ものがつまる等,アメ玉類,28,,,,
ものがつまる等,魚等の骨,21,,,,
ものがつまる等,菓子,19,,,,
はさむ・はさまれる,手動ドア,46,,,,
はさむ・はさまれる,自転車,13,,,,
はさむ・はさまれる,自転車の補助イス,12,,,,
はさむ・はさまれる,鉄道車両の戸袋,7,,,,
はさむ・はさまれる,自動ドア,5,,,,
はさむ・はさまれる,自動車のドア,5,,,,
切る・刺さる,ナイフ,14,,,,
切る・刺さる,ハサミ・爪切り,14,,,,
切る・刺さる,食器類,9,,,,
切る・刺さる,歯ブラシ,8,,,,
切る・刺さる,耳掻き・綿棒,4,,,,
やけど,味噌汁・スープ,13,,,,
やけど,カップ麺,8,,,,
やけど,麺類,7,,,,
やけど,お茶・コーヒー類,6,,,,
やけど,ポット・魔法瓶,5,,,,
かまれる・刺される,動物等,13,,,,
かまれる・刺される,虫,7,,,,
おぼれる,浴槽,3,,,,
