年,救急搬送人員（人）,前年比（％）
29,58336 ,
30,62344 ,106.9
元,64768 ,103.9
2,60443 ,93.3
3,58551 ,96.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
