年別,その他の火災件数（件）,放火（疑いを含む）の火災件数（件）,放火（疑いを含む）火災の占める割合（％）,たばこの火災件数（件）,たばこ火災の占める割合（％）
24,1437,837,58.2,232,16.1
25,1615,932,57.7,294,18.2
26,1463,808,55.2,275,18.8
27,1204,590,49.0,279,23.2
28,934,456,48.8,215,23.0
29,1148,511,44.5,311,27.1
30,1046,412,39.4,272,26.0
元,969,373,38.5,295,30.4
2,809,350,43.3,207,25.6
3,901,364,40.4,259,28.7
増減,92,14,-2.9,52,3.1
