年,13歳（人）,14歳（人）,15歳（人）,16歳（人）,17歳（人）,18歳（人）,
29,637,609,541,624,569,566,
30,656,671,559,657,630,582,
元,605,608,531,595,605,606,
2,416,420,343,405,416,391,
3,408 ,496 ,412,449,442,478,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
