消防署,消防用水・対象物数,消防用水・設備数,消防活動上必要な設備・排煙設備・対象物数,消防活動上必要な設備・排煙設備・設備数,消防活動上必要な設備・連結散水設備・対象物数,消防活動上必要な設備・連結散水設備・設備数,消防活動上必要な設備・連結送水管・対象物数,消防活動上必要な設備・連結送水管・設備数,消防活動上必要な設備・非常コンセント設備・対象物数,消防活動上必要な設備・非常コンセント設備・設備数,消防活動上必要な設備・無線通信補助設備・対象物数,消防活動上必要な設備・無線通信補助設備・設備数
平成29年度,"2,535","3,019","2,040","3,969","2,553","3,923","62,294","67,587","14,214","18,535",812,702
平成30年度,"2,584","3,035","2,103","3,890","2,579","3,934","63,258","68,149","14,696","17,279",819,708
令和元年度,"2,640","2,875","2,156","2,743","2,608","3,470","64,097","65,955","15,155","13,794",824,672
令和2年度,"2,676","2,852","2,180","2,677","2,624","3,432","64,928","66,806","15,556","14,239",832,675
令和3年度,"2,699","2,833","2,211","2,705","2,634","3,390","65,819","67,623","15,941","14,730",833,670
特別区,2357,2394,1824,2220,2188,2781,58882,60195,14530,13387,801,643
丸の内,98,106,69,108,9,22,190,319,127,112,85,59
麹町,68,73,34,40,90,96,"1,256","1,194",280,214,37,26
神田,49,42,36,29,49,82,"2,723","2,713",480,447,21,15
京橋,48,44,74,64,43,50,"2,467","2,483",574,545,32,23
日本橋,36,38,157,175,43,41,2454,2432,572,383,38,23
臨港,62,66,15,33,29,65,454,575,173,182,17,16
芝,142,141,148,161,75,85,"2,449","2,579",663,733,60,70
麻布,23,25,26,24,76,123,1179,1189,290,260,28,26
赤坂,54,62,28,30,73,96,985,999,209,183,21,12
高輪,64,74,25,35,68,67,684,734,221,167,21,8
品川,74,99,25,25,82,102,1286,1336,427,282,17,10
大井,43,47,14,23,14,9,733,733,238,204,5,3
荏原,7,6,8,8,18,20,535,527,180,226,4,4
大森,89,93,25,31,39,53,982,1014,184,158,5,5
田園調布,9,3,16,9,34,26,408,425,49,52,4,3
蒲田,60,75,32,37,13,16,764,798,212,170,10,10
矢口,48,40,13,9,16,19,494,488,105,128,2,1
目黒,18,17,8,13,82,77,1061,1035,195,158,6,6
世田谷,70,49,51,77,77,97,952,950,170,171,8,8
玉川,48,31,39,37,61,60,442,461,42,35,7,3
成城,15,14,14,10,46,45,340,358,31,23,1,1
渋谷,86,97,115,158,182,295,3139,"3,190",613,417,43,35
四谷,19,14,33,22,41,37,1021,1019,210,200,10,8
牛込,29,19,26,20,67,67,"1,030","1,049",283,281,15,14
新宿,77,88,72,109,89,120,2051,2161,549,567,48,32
中野,33,33,65,67,43,39,835,807,181,154,13,11
野方,3,4,6,3,19,19,323,313,33,35,2,4
杉並,41,30,42,48,49,121,786,798,108,64,5,5
荻窪,12,11,23,22,32,34,427,439,52,39,2,2
小石川,42,43,41,52,65,87,"1,110","1,150",351,267,19,16
本郷,38,35,36,40,85,69,"1,345","1,374",424,371,16,18
豊島,33,31,46,51,59,59,1722,1688,422,402,11,7
池袋,16,15,28,24,19,21,789,797,144,122,12,9
王子,16,18,7,19,12,17,525,561,149,152,3,3
赤羽,19,23,21,19,12,23,600,555,186,180,6,6
滝野川,7,10,7,6,15,12,560,600,173,157,1,1
板橋,20,13,13,10,33,27,868,793,280,230,6,4
志村,75,49,25,39,42,40,958,1067,236,77,5,1
練馬,6,6,19,23,19,22,657,643,114,97,8,5
光が丘,5,4,16,23,14,14,306,312,96,62,9,3
石神井,6,9,26,23,17,16,341,318,36,34,1,0
上野,33,34,21,18,32,55,"1,801","1,674",490,408,20,16
浅草,10,1,9,4,7,7,1497,1440,454,415,9,5
日本堤,16,16,13,11,8,12,792,823,228,223,4,4
荒川,25,20,9,11,11,12,936,968,270,230,5,3
尾久,3,3,2,2,7,5,318,311,94,98,1,2
千住,25,30,11,22,11,16,411,462,173,357,4,5
足立,21,18,31,78,20,24,995,1012,179,155,2,2
西新井,14,14,8,7,3,2,405,426,66,89,1,1
本所,34,37,38,61,18,29,2331,2257,473,387,26,19
向島,72,52,6,15,3,6,487,529,137,152,7,1
深川,248,309,70,127,51,82,"2,117","2,508",631,840,39,52
城東,79,88,24,35,21,46,1359,1468,462,510,5,3
本田,14,6,10,7,10,9,706,709,180,179,0,0
金町,16,21,6,11,7,19,341,356,101,114,2,3
江戸川,7,6,13,15,6,6,560,580,144,129,5,5
葛西,30,40,19,28,15,47,1187,1294,293,270,5,5
小岩,2,2,10,12,7,14,408,402,93,90,2,1
受託地区,342,439,387,485,446,609,6937,7428,1411,1343,32,27
立川,44,62,39,46,44,57,681,767,117,127,0,0
武蔵野,22,21,25,56,36,45,487,499,76,52,4,2
三鷹,12,12,6,3,14,22,381,411,63,50,0,0
府中,40,56,32,33,29,31,621,584,122,85,7,5
昭島,19,34,10,18,10,23,193,248,53,40,0,0
調布,10,16,22,23,33,30,402,412,76,98,4,3
小金井,3,4,7,5,16,13,176,184,35,30,0,0
小平,8,10,7,8,14,20,164,180,26,34,1,1
東村山,9,14,8,10,11,25,193,202,54,51,2,7
国分寺,8,6,4,4,13,13,202,197,41,25,0,0
狛江,6,7,2,3,6,5,77,92,14,13,0,0
北多摩西部,9,15,13,12,14,12,168,205,32,27,0,0
清瀬,6,15,3,6,6,6,70,80,12,9,0,0
東久留米,3,2,7,7,4,3,126,137,25,24,0,0
西東京,18,16,17,15,19,22,310,316,53,103,0,0
八王子,53,54,72,85,65,76,1230,1279,279,329,8,5
青梅,12,17,11,12,9,8,143,160,25,32,0,0
町田,21,30,40,64,36,43,518,540,120,89,3,3
日野,7,7,9,8,12,28,239,239,51,44,0,0
福生,4,4,15,27,10,22,128,151,15,20,0,0
多摩,27,31,32,31,34,85,403,522,122,61,1,1
秋川,1,6,6,9,9,18,25,23,0,0,1,0
奥多摩,0,0,0,0,2,2,0,0,0,0,1,0
