消防署,"合計・実施回数","合計・延べ台数",合計・延べ人員・計,合計・延べ人員・当番,合計・延べ人員・非番,合計・延べ人員・日勤,合計・延べ人員・毎日,"合計・警戒時間",祭礼・催物・実施回数,祭礼・催物・延べ台数,祭礼・催物・延べ人員・計,祭礼・催物・延べ人員・当番,祭礼・催物・延べ人員・非番,祭礼・催物・延べ人員・日勤,祭礼・催物・延べ人員・毎日,祭礼・催物・警戒時間,集団行動・実施回数,集団行動・延べ台数,集団行動・延べ人員・計,集団行動・延べ人員・当番,集団行動・延べ人員・非番,集団行動・延べ人員・日勤,集団行動・延べ人員・毎日,集団行動・警戒時間,"その他・実施回数","その他・延べ台数",その他・延べ人員・計,その他・延べ人員・当番,その他・延べ人員・非番,その他・延べ人員・日勤,その他・延べ人員・毎日,"その他・警戒時間"
令和3年,582,"55,256","212,645","174,447",94,885,"37,219","202,449",345,"4,170","18,400","14,942",30,115,"3,313","4,639",4,82,316,316,0,0,0,21,233,"51,004","193,929","159,189",64,770,"33,906","197,789"
本部,8,4511,13080,11031,1,128,1920,5489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4511,13080,11031,1,128,1920,5489
１本部,4,112,357,149,0,8,200,826,2,10,16,15,0,0,1,10,0,0,0,0,0,0,0,0,2,102,341,134,0,8,199,816
丸の内,5,250,"1,975","1,121",0,0,854,830,3,38,162,116,0,0,46,10,0,0,0,0,0,0,0,0,2,212,"1,813","1,005",0,0,808,820
麹町,9,371,"2,603","1,640",0,10,953,972,6,90,624,402,0,10,212,160,0,0,0,0,0,0,0,0,3,281,"1,979","1,238",0,0,741,812
神田,15,422,"1,902","1,894",0,0,8,925,4,80,304,296,0,0,8,74,0,0,0,0,0,0,0,0,11,342,"1,598","1,598",0,0,0,851
京橋,3,341,"1,536","1,536",0,0,0,906,1,1,6,6,0,0,0,90,0,0,0,0,0,0,0,0,2,340,"1,530","1,530",0,0,0,816
日本橋,7,910,"6,551","4,276",0,0,"2,275","1,951",3,52,359,220,0,0,139,78.75,0,0,0,0,0,0,0,0,4,858,"6,192","4,056",0,0,"2,136",1872
臨港,3,406,"2,605","1,887",0,16,702,822,1,11,51,48,0,3,0,6,0,0,0,0,0,0,0,0,2,395,"2,554","1,839",0,13,702,816
芝,4,395,"2,504","1,620",0,0,884,819,1,18,93,93,0,0,0,3,0,0,0,0,0,0,0,0,3,377,"2,411","1,527",0,0,884,816
