年別,合計(件）,火災（件）,流出（件）,その他（件）,死者（人）,負傷者（人）
29,107,21,20,66,0,9
30,114,30,32,52,0,16
元,122,28,23,71,0,16
2,123,24,19,80,0,11
3,124,33,20,71,0,3
前年比,1,9,1,-9,0,-8
