階層コード,地域コード,地域,人口総数／平成21年１月１日,人口総数／平成20年12月１日,人口総数／平成20年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12925583,12925706,12823556,-123,0,102027,0.8
1,13100,区部,8791197,8791577,8711953,-380,0,79244,0.91
1,13200,市部,4045926,4045614,4022749,312,0.01,23177,0.58
1,13300,郡部,59731,59749,59881,-18,-0.03,-150,-0.25
1,13350,島部,28729,28766,28973,-37,-0.13,-244,-0.84
,,,,,,,,,
住民基本台帳による世帯と人口_平成21年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
