"年度","東京工業大学附属科学技術 学級数","東京工業大学附属科学技術 生徒数[人]","都立三田 学級数","都立三田 生徒数[人]","都立芝商業 学級数","都立芝商業 生徒数[人]","都立六本木 定時制 学級数","都立六本木 定時制 生徒数[人]","麻布 学級数","麻布 生徒数[人]","慶応義塾女子 学級数","慶応義塾女子 生徒数[人]","芝 学級数","芝 生徒数[人]","頌栄女子学院 学級数","頌栄女子学院 生徒数[人]","聖心女子学院 学級数","聖心女子学院 生徒数[人]","正則 学級数","正則 生徒数[人]","高輪 学級数","高輪 生徒数[人]","東海大学付属高輪台 学級数","東海大学付属高輪台 生徒数[人]","東京女子学園 学級数","東京女子学園 生徒数[人]","東洋英和女学院 学級数","東洋英和女学院 生徒数[人]","広尾学園 学級数","広尾学園 生徒数[人]","普連土学園 学級数","普連土学園 生徒数[人]","明治学院 学級数","明治学院 生徒数[人]","山脇学園 学級数","山脇学園 生徒数[人]"
"2014","15","572","23","912","18","619","20","523","21","891","14","593","23","863","15","637","9","361","24","864","20","687","28","1275","12","361","15","553","26","875","9","382","21","921","21","695"
"2015","15","577","23","912","18","620","20","528","21","894","15","599","23","860","15","633","9","358","24","870","19","659","29","1344","10","300","15","543","26","857","9","381","22","949","20","705"
"2016","15","572","23","920","18","615","20","526","21","913","15","611","23","869","15","658","9","355","23","796","19","645","30","1386","10","270","15","547","25","849","9","389","23","977","19","719"
"2017","15","578","23","913","18","625","20","528","21","918","15","622","23","851","15","668","9","343","23","812","18","665","30","1391","10","276","15","551","24","850","9","392","23","993","18","722"
"2018","15","591","23","914","18","612","21","526","21","922","15","626","23","862","15","658","9","345","25","940","18","676","30","1403","10","255","15","560","25","918","9","390","22","995","18","713"

"平成30年度港区行政資料集　高等学校生徒数","Ver201805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
