"年度","被保護者数[人]","世帯数[世帯]","生活扶助 世帯数[世帯]","生活扶助 人員[人]","住宅扶助 世帯数[世帯]","住宅扶助 人員[人]","教育扶助 世帯数[世帯]","教育扶助 人員[人]","医療扶助 世帯数[世帯]","医療扶助 人員[人]","介護扶助 世帯数[世帯]","介護扶助 人員[人]","出産扶助 世帯数[世帯]","出産扶助 人員[人]","生業扶助 世帯数[世帯]","生業扶助 人員[人]","葬祭扶助 世帯数[世帯]","葬祭扶助 人員[人]"
"2013","2383","1962","1698","2100","1656","2044","75","102","1533","1708","348","361","0","0","44","56","3","3"
"2014","2351","1954","1704","2082","1665","2046","66","85","1514","1695","353","368","1","1","44","62","4","4"
"2015","2324","1967","1702","2040","1657","1955","57","76","1658","1873","376","388","0","0","33","44","0","0"
"2016","2320","1961","1718","2061","1665","1989","67","92","1685","1904","421","436","0","0","36","45","2","2"
"2017","2213","1871","1634","1948","1627","1928","53","81","1627","1848","442","453","1","1","38","54","6","6"

"平成30年度港区行政資料集　生活保護法による保護の実施状況","Ver201803",,,,,,,,,,,,,,,,,
