"地域","備蓄倉庫 設置箇所[か所]","備蓄倉庫 面積[平方メートル]","消火器設置本数[本]"
"芝","39","4882","361"
"麻布","24","1797","281"
"赤坂","21","1698","277"
"高輪","20","1609","353"
"芝浦港南","22","2812","185"
"合計","126","12798","1457"

"令和3年度港区行政資料集　備蓄倉庫・消火器設置状況","Ver202104",,
