分類項目,,墨田区面積[平方メートル],墨田区構成比[％],南部(両国～業平）面積[平方メートル],南部(両国～業平）構成比[％],北部(向島～東墨田)面積[平方メートル],北部(向島～東墨田)構成比[％],両国面積[平方メートル],両国構成比[％],千歳面積[平方メートル],千歳構成比[％],緑面積[平方メートル],緑構成比[％],立川面積[平方メートル],立川構成比[％],菊川面積[平方メートル],菊川構成比[％],江東橋面積[平方メートル],江東橋構成比[％],横網面積[平方メートル],横網構成比[％],亀沢面積[平方メートル],亀沢構成比[％],石原面積[平方メートル],石原構成比[％],本所面積[平方メートル],本所構成比[％],東駒形面積[平方メートル],東駒形構成比[％],吾妻橋面積[平方メートル],吾妻橋構成比[％],錦糸面積[平方メートル],錦糸構成比[％],太平面積[平方メートル],太平構成比[％],横川面積[平方メートル],横川構成比[％],業平面積[平方メートル],業平構成比[％],向島面積[平方メートル],向島構成比[％],東向島面積[平方メートル],東向島構成比[％],堤通面積[平方メートル],堤通構成比[％],墨田面積[平方メートル],墨田構成比[％],押上面積[平方メートル],押上構成比[％],京島面積[平方メートル],京島構成比[％],文花面積[平方メートル],文花構成比[％],八広面積[平方メートル],八広構成比[％],立花面積[平方メートル],立花構成比[％],東墨田面積[平方メートル],東墨田構成比[％]
公共系,官公庁施設,59466,0.4,38750,0.7,20716,0.2,2569,0.753372434,426,0.224210526,721,0.2,981,0.4,764,0.308064516,1447,0.3,62,0.018235294,304,0.092401216,143,0,60,0.014563107,1428,0.432727273,11124,4.2,4931,1.5,3165,0.959393939,6821,1.941880342,3804,1.104347826,881,0.104378698,7991,0.7,57,0.008296943,2915,0.226495726,0,0,248,0.05210084,2173,0.45460251,809,0.069439728,923,0.091840796,4719,0.551035323
公共系,教育文化施設,624501,4.5,216812,4.148072605,407689,4.8,12487,3.661876833,4739,2.493684211,7951,2,6270,2.366792453,5401,2.177822581,19232,3.899591002,51308,15.09058824,16093,4.891793313,14971,4.1,13550,3.3,18425,5.583030303,6408,2.418113208,10912,3.228106509,8979,2.7,12261,3.5,7825,2.269275362,47682,5.647455621,72555,6.8,33717,4.9,34706,2.7,13831,2.474239714,19104,4,39860,8.338284519,72013,6.1,62652,6.2,11569,1.409378806
公共系,厚生医療施設,133605,1,66861,1.3,66744,0.8,1145,0.335777126,0,0,2547,0.584328358,1639,0.6,627,0.3,23193,4.7,16642,4.894705882,1833,0.557142857,2494,0.675609756,1663,0.363834951,1697,0.49030303,552,0.23245283,891,0.263905325,6136,1.9,470,0.133903134,5332,1.545507246,4984,0.589822485,12677,1.244205607,7080,1.030713246,5973,0.464024864,4294,0.817173524,6231,1.311134454,4170,0.872384937,13603,1.2,4658,0.463383085,3074,0.374421437
公共系,供給処理施設,88559,0.6,26688,0.5,61871,0.7,0,0,2104,1.107368421,22,0.005472637,4030,1.520377358,757,0.305241935,0,0,13492,3.967941176,893,0.271428571,0,0,548,0.133009709,0,0,3205,1.209433962,310,0.091715976,0,0,0,0,1327,0.384347826,1623,0.192071006,823,0.077009346,4783,0.69636099,7475,0.580885781,0,0,0,0,1689,0.353556485,2743,0.232937182,25125,2.5,17610,2.1
公共系,小計,906131,6.5,349111,6.5,557020,6.6,16201,4.751026393,7269,3.825263158,11241,2.811691542,12920,4.875849057,7549,3.00483871,43872,9,81504,23.97147059,19123,5.812765957,17608,4.8,15821,3.8,21550,6.506060606,21289,8,17044,5,18280,5.483333333,19552,5.6,18288,5.303478261,55170,6.533727811,94046,8.767102804,45637,6.6,51069,4,18125,3.2,25583,5.4,47892,10.01882845,89168,7.6,93358,9.3,36972,4.501096224
商業系,事務所建築物,461798,3.4,339913,6.4,121885,1.4,46400,13.6,9214,4.8,32562,8.1,12684,4.8,14974,6,33894,6.9,12333,3.6,20232,6.1,19266,5.2,28303,6.9,18553,5.6,14086,5.315471698,27901,8.3,20203,6.148181818,12520,3.6,16781,4.9,23034,2.7,13747,1.262523364,5016,0.676273654,10951,0.892074592,28741,5.1,11954,2.5,5842,1.15376569,8460,0.7,7806,0.768358209,6334,0.8
商業系,専用商業施設等,190865,1.4,95701,1.8,95164,1.1,4673,1.395601173,1177,0.619473684,2889,0.7,2858,1.138113208,2262,0.869354839,24908,5.1,5409,1.590882353,2219,0.674468085,3170,0.9,2158,0.5,1351,0.4,7802,2.9,9480,2.821301775,21277,6.4,1574,0.4,2494,0.7,2771,0.337869822,17392,1.6,11442,1.665502183,16108,1.3,2956,0.5,11889,2.5,12569,2.6,11866,1.015959253,7552,0.769651741,619,0.075395859
商業系,住商併用建物,973316,7.1,499858,9.4,473458,5.6,32019,9.4,15522,8.2,46222,11.5,28932,10.9,30491,12.3,24045,4.9,6652,2,29532,9,51138,13.9,48325,11.7,37437,11.3,19742,7.408301887,21738,6.4,42679,12.9,24665,7,40719,11.8,66586,7.9,106769,10,14118,2.059534207,62494,4.9,43459,7.8,42968,9,21431,4.5,65870,5.6,41762,4.2,8001,1
商業系,宿泊・遊興建物,63809,0.5,48767,0.9,15042,0.2,3374,0.989442815,0,0,444,0.1,0,0,686,0.341935484,24327,5,5537,1.628235294,188,0.057446809,822,0.2,0,0,511,0.154848485,1095,0.417735849,8871,2.624556213,290,0.087878788,1058,0.301424501,1564,0.535072464,5714,0.7,4342,0.4,0,0,1099,0.085392385,1848,0.3,589,0.1,552,0.115481172,385,0.032682513,513,0.1,0,0
商業系,スポーツ・興業施設,69379,0.5,34511,0.6,34868,0.4,1283,0.4,191,0.100526316,140,0.034825871,477,0.18,85,0.034274194,4410,0.901840491,18668,5.490588235,744,0.226139818,407,0.110298103,0,0,0,0,0,0,8106,2.4,0,0,0,0,0,0,2471,0.292307692,3813,0.35635514,0,0,3913,0.304040404,1322,0.236493739,0,0,222,0.046443515,0,0,14919,1.5,8208,0.999756395
