,,平成22年1月1日現在所有者数[人],平成22年1月1日現在所有者数[％],平成22年1月1日現在面積[千㎡],平成22年1月1日現在面積[％],平成23年1月1日現在所有者数[人],平成23年1月1日現在所有者数[％],平成23年1月1日現在面積[千㎡],平成23年1月1日現在面積[％],平成24年1月1日現在所有者数[人],平成24年1月1日現在所有者数[％],平成24年1月1日現在面積[千㎡],平成24年1月1日現在面積[％],平成25年1月1日現在所有者数[人],平成25年1月1日現在所有者数[％],平成25年1月1日現在面積[千㎡],平成25年1月1日現在面積[％],平成26年1月1日現在所有者数[人],平成26年1月1日現在所有者数[％],平成26年1月1日現在面積[千㎡],平成26年1月1日現在面積[％]
墨田区,100㎡未満,17251,55.3,1034,16.1,18138,57.1,1086,16.9,18371,57.45785507,1101,17.22465582,18496,57.69182782,1110,17.41996234,18703,57.98840418,1124,17.7007874
墨田区,100㎡以上200㎡未満,8013,25.7,1116,17.4,7875,24.8,1093,17,7872,24.62077378,1092,17.08385482,7890,24.61010605,1094,17.16886378,7910,24.5248504,1098,17.29133858
墨田区,200㎡以上300㎡未満,2349,7.5,569,8.8,2302,7.2,559,8.7,2295,7.17793138,557,8.714017522,2281,7.114784779,553,8.678593848,2278,7.062908877,553,8.708661417
墨田区,300㎡以上500㎡未満,1811,5.8,689,10.7,1757,5.5,666,10.4,1757,5.495261627,667,10.43491865,1729,5.3930131,656,10.2950408,1719,5.329736769,652,10.26771654
墨田区,"500㎡以上1,000㎡未満",1127,3.6,772,12,1079,3.4,738,11.5,1073,3.355956588,735,11.49874844,1061,3.309419838,723,11.34651601,1047,3.246209655,712,11.21259843
墨田区,"1,000㎡以上2,000㎡未満",403,1.3,547,8.5,373,1.2,508,7.9,361,1.129077659,493,7.712765957,358,1.116656269,486,7.627118644,353,1.094471832,476,7.496062992
墨田区,"2,000㎡以上5,000㎡未満",167,0.5,513,8,153,0.5,457,7.1,151,0.472273481,447,6.993116395,151,0.47099189,445,6.983678594,150,0.465073016,441,6.94488189
墨田区,"5,000㎡以上10,000㎡未満",56,0.2,382,5.9,58,0.2,384,6,59,0.184530698,391,6.117021277,59,0.184029944,391,6.136220967,59,0.18292872,389,6.125984252
墨田区,"10,000㎡以上",37,0.1,809,12.6,34,0.1,918,14.3,34,0.106339724,911,14.25219024,35,0.109170306,914,14.34400502,34,0.10541655,905,14.2519685
墨田区,計,31214,100,6430,100,31769,100,6409,100,31973,100,6392,100,32060,100,6372,100,32253,100,6350,100
特別区,100㎡未満,542675,45.8,34552,11.3,579585,47.6,36932,12.1,587885,47.9,37531,12.35934336,597204,48.23236667,38193,12.61173503,605938,26.99512612,38829,12.84992372
特別区,100㎡以上200㎡未満,371010,31.3,51493,16.9,375641,30.9,51889,17.1,378223,30.8,52184,17.18472659,381123,30.78087937,52510,17.33936078,384535,17.13140754,52902,17.50718959
特別区,200㎡以上300㎡未満,114445,9.6,27720,9.1,110933,9.1,26853,8.8,111015,9.047677262,26875,8.850213228,110831,8.951114579,26825,8.857900455,1106044,49.27533391,26766,8.857839714
特別区,300㎡以上500㎡未満,79359,6.7,30017,9.8,76262,6.3,28830,9.5,75970,6.191524042,28715,9.456144106,75689,6.112918871,28608,9.446666028,75332,3.35611373,28464,9.41976947
特別区,"500㎡以上1,000㎡未満",43566,3.7,29799,9.76,41514,3.4,28393,9.3,41395,3.373675632,28295,9.317833797,41090,3.318577817,28089,9.275286705,40837,1.819327993,27920,9.239740149
特別区,"1,000㎡以上2,000㎡未満",18719,1.6,25898,8.5,17412,1.4,24118,7.9,17281,1.408394458,23937,7.882699686,17225,1.391153636,23853,7.876514429,17101,0.761866151,23671,7.833592015
特別区,"2,000㎡以上5,000㎡未満",11121,0.9,33994,11.1,10451,0.9,32056,10.5,10357,0.84409128,31731,10.44934385,10246,0.827504218,31348,10.35144319,10142,0.451835946,31038,10.27159938
特別区,"5,000㎡以上10,000㎡未満",3307,0.3,22579,7.4,3267,0.3,22373,7.4,3216,0.262102689,22001,7.245155023,3146,0.2540824,21519,7.105802792,3084,0.137395194,21100,6.982754912
特別区,"10,000㎡以上",1710,0.1,49147,16.1,1688,0.1,52830,17.4,1658,0.135126324,52395,17.25421105,1627,0.131402436,51893,17.13562081,1607,0.07159341,51483,17.03759105
特別区,計,1185912,100,305199,99.96,1216753,100,304273,100,1227000,100,303665,100,1238181,100,302837,100,2244620,100,302173,100
