,平成24年1月1日現在件数[件],平成24年1月1日現在地積[坪],平成25年1月1日現在件数[件],平成25年1月1日現在地積[坪],平成26年1月1日現在件数[件],平成26年1月1日現在地積[坪],平成27年1月1日現在件数[件],平成27年1月1日現在地積[坪],平成28年1月1日現在件数[件],平成28年1月1日現在地積[坪]
宅地 住宅,41916,1392202,42086,1398018,42330,1403756,42795,1416315,43003,1421303
宅地 非住宅,8886,676695,8912,677053,8935,671072,8872,657557,8805,652701
宅地以外,458,83168,449,73443,447,73023,444,73006,443,72866
総数,51260,2152066,51447,2148515,51712,2147850,52111,2146878,52251,2146870
