,,平成22年1月1日面積[ヘクタール],平成22年1月1日面積構成比[%],平成23年1月1日面積[ヘクタール],平成23年1月1日面積構成比[%],平成24年1月1日面積[ヘクタール],平成24年1月1日面積構成比[%],平成25年1月1日面積[ヘクタール],平成25年1月1日面積構成比[%],平成26年1月1日面積[ヘクタール],平成26年1月1日面積構成比[%]
墨田区,行政面積(構成比),1375,100,1375,100,1375,100,1375,100,1377,100
墨田区,民有地面積(構成比),712,51.8,711,517,711,517,710,516,710,51.6
墨田区,その他の面積(構成比),663,48.2,664,48.3,664,48.3,665,48.4,667,4834
特別区,行政面積(構成比),62198,100,62299,100,62299,100,62299,100,62670,100
特別区,民有地面積(構成比),33357,53.6,33318,53.5,33313,53.5,33305,53.5,33300,53.1
特別区,その他の面積(構成比),28841,46.4,28981,46.5,28986,46.5,28994,46.5,29370,46.9
東京都,行政面積(構成比),140591,100,140693,100,140693,100,140693,100,141091,100
東京都,民有地面積(構成比),76412,54.4,76352,54.3,76278,54.3,76305,54.2,76250,54
東京都,その他の面積(構成比),64179,45.6,64341,45.7,64415,45.8,64388,45.8,64841,46
