"年度","芝 三田[人]","芝 神明[人]","芝 虎ノ門（とらトピア）[人]","芝 小計[人]","麻布 南麻布[人]","麻布 本村[人]","麻布 ありす[人]","麻布 麻布[人]","麻布 西麻布[人]","麻布 飯倉[人]","麻布 小計[人]","赤坂 赤坂[人]","赤坂 青山[人]","赤坂 青南[人]","赤坂 小計[人]","高輪 豊岡[人]","高輪 高輪[人]","高輪 白金[人]","高輪 白金台[人]","高輪 小計[人]","芝浦港南 港南（ゆとりーむ）[人]","計[人]"
"2014","86214","157921","91826","335961","35368","8637","41141","17679","26139","31327","160291","17141","69051","24326","110518","27793","41007","34828","82077","185705","100427","892902"
"2015","88593","162854","97546","348993","43441",,"100816","17601","48711","31585","242154","18966","70365","24768","114099","25989","45087","38625","88201","197902","100442","1003590"
"2016","84919","157863","101621","344403","47554",,"113626","17081","54491","31121","263873","22196","71777","23355","117328","26964","46408","41462","85126","199960","98451","1024015"
"2017","83927","161060","101801","346788","50578",,"130552","17581","61763","31925","292399","23273","73101","23627","120001","29923","47367","47062","86153","210505","106024","1075717"
"2018","84845","157659","101549","344053","52655",,"132069","17689","61628","30461","294502","22369","70566","23805","116740","29967","51294","42146","85262","208669","111534","1075498"

"令和元年度港区行政資料集　施設利用状況一覧 いきいきプラザ","Ver201903",,,,,,,,,,,,,,,,,,,,,
