"年度","個人利用[人]","団体利用[人]","区民無料公開の日[人]","障害者・高齢者[人]","その他[人]","合計[人]"
"2017","427086","171293","42400","187728","53813","882320"
"2018","437546","183296","42721","206593","57484","927640"
"2019","394888","170275","39141","182782","60769","847855"
"2020","222666","94368","20000","89225","15618","441877"
"2021","223020","93566","24075","103001","27898","471560"

"令和4年度港区行政資料集　施設利用状況一覧 スポーツセンター","Ver202203",,,,,
