等級,点番号,XX,YY
２級,A1_2,-44015.512,-37909.733
２級,A1_4,-44476.253,-38337.1
２級,A1_5,-44671.998,-37853.47
２級,A1_6,-44771.235,-38421.089
２級,A2_2,-47858.871,-30679.237
２級,B1_3,-43937.5,-36651.186
２級,B1_4,-44012.464,-35527.594
２級,B1_5,-44027.627,-35211.021
２級,B1_6,-44118.692,-36311.342
２級,B1_7,-44329.971,-35218.856
２級,C1_2,-43939.45,-34495.807
２級,C1_3,-44276.726,-33504.412
２級,C1_7,-44600.042,-34250.902
２級,D1_2,-44536.073,-32200.772
２級,D1_5,-44951.29,-32400.382
２級,E2_4,-49239.115,-34282.232
２級,E2_12,-49913.073,-33278.281
２級,E2_15,-48841.865,-34882.243
２級,F_1,-42620.777,-49007.807
２級,F_2,-42833.923,-50667.356
２級,F_3,-42871.576,-50067.519
２級,F1_6,-45967.345,-39166.496
２級,F1_7,-46144.045,-38811.492
２級,G_7,-43603.207,-47694.11
２級,G1_2,-45195.73,-37530.579
２級,G2_4,-50714.488,-35169.478
２級,G2_5,-51004.847,-35035.02
２級,H_7,-43494.622,-46620.054
２級,H_9,-43541.078,-46143.14
２級,H1_2,-45084.17,-36334.847
２級,H1_3,-45229.651,-35083.907
２級,H1_5,-45694.721,-35040.189
２級,H1_9,-46038.262,-36596.656
２級,H1_10,-46047.323,-36067.151
２級,H2_7,-51082.628,-33734.229
２級,J_10,-43740.327,-44987.307
２級,J1_2,-45128.083,-34660.667
２級,J2_4,-50262.078,-32259.434
２級,J2_6,-50657.188,-32173.034
２級,J2_7,-50678.609,-33011.401
２級,K1_3,-45283.544,-32182.743
２級,K1_9,-45802.128,-31880.223
２級,K2_2,-51333.848,-34111.144
２級,K2_4,-51670.197,-33636.864
２級,K2_9,-52395.015,-33605.696
２級,L1_3,-45934.742,-31302.497
２級,L1_4,-46110.125,-31099.145
２級,L2_3,-51441.388,-31805.892
２級,L2_5,-51523.01,-32712.773
２級,L2_8,-51774.05,-33218.412
２級,M_1,-43219.908,-38936.369
２級,M_2,-43375.953,-39771.552
２級,M_3,-43612.286,-39175.666
２級,M2_1,-51592.338,-31480.698
２級,N_2,-43405.542,-38255.999
２級,N_3,-43685.228,-36761.301
２級,N1_4,-46607.07,-37682.967
２級,N1_12,-47325.801,-36777.652
２級,N2_7,-53030.132,-34304.006
２級,N2_8,-52731.585,-33294.203
２級,P1_9,-47195.205,-35142.401
２級,P2_1,-52615.338,-31931.096
２級,P2_4,-52959.917,-33187.562
２級,P2_10,-53522.312,-32819.947
２級,P2_11,-53275.366,-32260.133
２級,Q_1,-43053.849,-34909.584
２級,Q_2,-43466.094,-33922.991
２級,Q1_2,-46522.545,-34837.734
２級,Q1_6,-46922.875,-33620.349
２級,R1_2,-46503.953,-32727.399
２級,R1_6,-46429.018,-31551.395
２級,R1_7,-46497.852,-32164.072
２級,S2_2,-53861.194,-33051.477
２級,S2_10,-54802.962,-33051.346
２級,U1_2,-47587.794,-37784.343
２級,U1_5,-48006.165,-38025.581
２級,V_7,-44316.875,-42746.522
