"区分","０歳児[人]","１歳児[人]","２歳児[人]","３歳児[人]","４歳児[人]","５歳児[人]","学齢児[人]","その他[人]","合計[人]"
"相談","22","38","73","42","33","29","14","7","258"
"指導・訓練","16","27","48","49","70","61","0","0","271"
"合計","38","65","121","91","103","90","14","7","529"

"令和元年度港区行政資料集　こども療育パオでの発達・療育相談事業利用者数","Ver201903",,,,,,,,
