"年月[西暦]","調査項目","設問","選択肢","回答数[件]","構成比[%]"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","地球温暖化","19","67.9"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","省エネルギー","3","10.7"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","ヒートアイランド現象","1","3.6"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","一般的なごみ・資源の問題","5","17.9"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","食品ロス（食品廃棄物）","7","25.0"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","プラスチックごみ問題","9","32.1"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","生物多様性の保全・再生、ビオトープ","3","10.7"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","緑化","7","25.0"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","古川、運河、海の水環境","5","17.9"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","大気汚染","2","7.1"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","身近な自然とのふれあい","6","21.4"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","美化活動","1","3.6"
"202003","環境学習","Q4. 教科学習、総合的な学習の時間、みなと子どもエコアクションの活動などを通じて、最近の児童・生徒が特に関心を持っていると感じる環境分野は何ですか。当てはまる番号に○をつけてください。（〇は３つまで）","その他","0","0.0"

"港区の環境に関する学校アンケート調査結果・環境学習Q4","Ver202003",,,,
