"年度[西暦]","歩道[メートル]","準歩道[メートル]"
"2015","152977","8102"
"2016","154128","7910"
"2017","153896","7834"
"2018","154495","7834"
"2019","154815","8148"

"令和元年度港区行政資料集　歩道の設置延長","Ver201904",
