年,月,男出生数（人）,女出生数（人）,男死亡数（人）,女死亡数（人）,都外転入（人）,都内転入（人）,その他の社会増（人）,都外転出（人）,都内転出（人）,その他の社会減（人）,婚姻件数（件）,離婚件数（件）
2003,1,162,150,145,105,1067,418,65,809,330,56,150,74
2003,2,129,118,116,97,1146,350,78,994,454,70,160,70
2003,3,149,118,106,112,3543,1905,160,2569,854,196,253,82
2003,4,123,140,107,99,2804,867,130,1354,496,111,205,90
2003,5,157,120,117,79,1269,462,79,923,403,95,194,76
2003,6,149,136,94,73,1033,385,108,906,331,111,203,60
2003,7,160,136,96,88,1184,427,99,1070,388,130,193,71
2003,8,142,152,96,94,1242,571,80,951,379,88,163,67
2003,9,138,127,117,88,1073,422,85,991,326,119,155,76
2003,10,159,136,112,83,1279,440,96,1019,404,79,185,78
2003,11,115,121,124,74,1045,409,75,792,370,74,205,56
2003,12,130,140,118,93,1486,511,70,948,343,105,205,68
2004,1,172,136,133,121,866,298,87,872,299,89,133,56
2004,2,157,128,111,99,970,417,58,1048,417,78,175,58
2004,3,136,142,118,112,2906,873,147,2666,1046,158,192,92
2004,4,159,140,120,85,2359,693,112,1373,508,94,156,70
2004,5,115,114,122,99,1067,366,58,828,327,91,179,77
2004,6,152,133,89,91,1076,342,95,816,347,88,175,59
2004,7,154,141,112,78,1121,353,110,912,363,148,182,63
2004,8,137,132,117,81,1209,419,96,982,364,91,139,48
2004,9,131,140,109,89,1078,395,63,922,352,78,150,62
2004,10,141,108,110,83,1246,601,98,841,358,74,179,62
2004,11,129,146,128,109,1176,424,74,842,372,95,195,64
2004,12,139,144,132,93,1300,480,92,1061,332,123,212,83
2005,1,150,136,145,117,820,301,70,815,303,74,149,73
2005,2,123,122,125,120,981,357,83,1041,435,98,125,67
2005,3,129,164,161,120,2821,736,155,2705,1004,105,209,93
2005,4,128,121,98,97,2184,518,111,1208,505,86,162,59
2005,5,130,121,115,95,1311,359,95,965,391,81,173,83
2005,6,154,124,127,75,966,315,95,883,359,74,151,68
2005,7,138,135,103,75,953,368,106,952,353,113,160,75
2005,8,156,141,135,111,1168,383,78,950,371,130,137,77
2005,9,152,138,116,101,1025,353,97,975,373,90,147,69
2005,10,154,135,119,80,1008,401,69,927,384,73,172,64
2005,11,103,127,120,101,1026,338,80,822,344,85,182,53
2005,12,132,136,124,102,1180,331,63,923,336,73,185,68
2006,1,154,142,182,128,716,293,76,834,340,61,131,56
2006,2,129,130,139,99,963,368,71,935,408,52,146,73
2006,3,148,142,142,116,2825,826,185,2115,826,190,201,86
2006,4,111,128,114,91,2270,499,148,1593,577,79,158,70
