款,項,目,細目,財源内訳,決算額
1,1,1,33,1,0
1,1,1,33,2,0
1,1,1,33,3,0
1,1,1,33,4,156853
1,1,1,33,5,0
1,1,1,724,1,163
1,1,1,724,2,2092
1,1,1,724,3,0
1,1,1,724,4,39222
1,1,1,724,5,0
1,1,2,725,1,0
1,1,2,725,2,0
1,1,2,725,3,0
1,1,2,725,4,3341
1,1,2,725,5,0
1,2,1,726,1,0
1,2,1,726,2,1238
1,2,1,726,3,0
1,2,1,726,4,27904
1,2,1,726,5,0
1,3,1,728,1,0
1,3,1,728,2,0
1,3,1,728,3,0
1,3,1,728,4,921
1,3,1,728,5,0
2,1,1,729,1,0
2,1,1,729,2,8739000
2,1,1,729,3,0
2,1,1,729,4,0
2,1,1,729,5,0
2,1,3,731,1,0
2,1,3,731,2,75798
2,1,3,731,3,0
2,1,3,731,4,0
2,1,3,731,5,0
2,1,5,733,1,0
2,1,5,733,2,21942
2,1,5,733,3,0
2,1,5,733,4,21116
2,1,5,733,5,0
2,2,1,734,1,0
2,2,1,734,2,1271152
2,2,1,734,3,0
2,2,1,734,4,0
2,2,1,734,5,0
2,2,3,736,1,0
2,2,3,736,2,825
2,2,3,736,3,0
2,2,3,736,4,0
2,2,3,736,5,0
2,3,1,739,1,0
2,3,1,739,2,86
2,3,1,739,3,0
2,3,1,739,4,0
2,3,1,739,5,0
2,4,1,741,1,0
2,4,1,741,2,0
2,4,1,741,3,0
2,4,1,741,4,16755
2,4,1,741,5,8385
2,5,1,743,1,0
2,5,1,743,2,0
2,5,1,743,3,0
2,5,1,743,4,0
2,5,1,743,5,10950
2,6,1,744,1,0
2,6,1,744,2,17899
2,6,1,744,3,0
2,6,1,744,4,0
2,6,1,744,5,0
2,7,1,861,1,0
2,7,1,861,2,393
2,7,1,861,3,0
2,7,1,861,4,0
2,7,1,861,5,866
3,1,1,956,1,0
3,1,1,956,2,200203
3,1,1,956,3,0
3,1,1,956,4,2323764
3,1,1,956,5,336143
3,1,2,957,1,0
3,1,2,957,2,0
3,1,2,957,3,0
3,1,2,957,4,211
3,1,2,957,5,4209
3,2,1,958,1,0
3,2,1,958,2,0
3,2,1,958,3,0
3,2,1,958,4,687822
3,2,1,958,5,361218
3,2,2,959,1,0
3,2,2,959,2,0
3,2,2,959,3,0
3,2,2,959,4,66
3,2,2,959,5,1813
3,3,1,748,1,0
3,3,1,748,2,0
3,3,1,748,3,0
3,3,1,748,4,228899
3,3,1,748,5,172779
5,1,2,758,1,0
5,1,2,758,2,0
5,1,2,758,3,0
5,1,2,758,4,27
5,1,2,758,5,2936
5,1,2,869,1,0
5,1,2,869,2,854
5,1,2,869,3,0
5,1,2,869,4,445
5,1,2,869,5,859
5,1,2,872,1,0
5,1,2,872,2,0
5,1,2,872,3,0
5,1,2,872,4,0
5,1,2,872,5,7569
5,2,1,760,1,0
5,2,1,760,2,49163
5,2,1,760,3,0
5,2,1,760,4,3444
5,2,1,760,5,91903
5,2,1,761,1,0
5,2,1,761,2,1783
5,2,1,761,3,0
5,2,1,761,4,95
5,2,1,761,5,12443
6,1,1,762,1,0
6,1,1,762,2,0
6,1,1,762,3,0
6,1,1,762,4,66
6,1,1,762,5,50
8,1,1,764,1,0
8,1,1,764,2,0
8,1,1,764,3,0
8,1,1,764,4,0
8,1,1,764,5,23003
8,1,6,979,1,0
8,1,6,979,2,0
8,1,6,979,3,0
8,1,6,979,4,0
8,1,6,979,5,399334
9,1,1,751,1,0
9,1,1,751,2,0
9,1,1,751,3,0
9,1,1,751,4,0
9,1,1,751,5,0
