款,項,目,細目,財源内訳,金額
1,1,1,35,1,0
1,1,1,35,2,0
1,1,1,35,3,0
1,1,1,35,4,133407
1,1,1,35,5,0
1,1,1,789,1,5470
1,1,1,789,2,0
1,1,1,789,3,0
1,1,1,789,4,49308
1,1,1,789,5,0
1,1,1,790,1,0
1,1,1,790,2,0
1,1,1,790,3,0
1,1,1,790,4,608
1,1,1,790,5,0
1,1,2,791,1,0
1,1,2,791,2,0
1,1,2,791,3,0
1,1,2,791,4,407
1,1,2,791,5,0
1,1,2,874,1,0
1,1,2,874,2,0
1,1,2,874,3,0
1,1,2,874,4,55
1,1,2,874,5,0
1,1,3,792,1,0
1,1,3,792,2,0
1,1,3,792,3,0
1,1,3,792,4,27
1,1,3,792,5,0
1,2,1,793,1,0
1,2,1,793,2,0
1,2,1,793,3,0
1,2,1,793,4,2631
1,2,1,793,5,0
1,3,1,794,1,0
1,3,1,794,2,0
1,3,1,794,3,0
1,3,1,794,4,10122
1,3,1,794,5,0
1,3,2,795,1,0
1,3,2,795,2,0
1,3,2,795,3,0
1,3,2,795,4,53822
1,3,2,795,5,0
2,1,1,804,1,1734564
2,1,1,804,2,1324002
2,1,1,804,3,0
2,1,1,804,4,5862036
2,1,1,804,5,0
2,2,1,811,1,55100
2,2,1,811,2,36695
2,2,1,811,3,0
2,2,1,811,4,176027
2,2,1,811,5,0
2,3,1,812,1,2261
2,3,1,812,2,1381
2,3,1,812,3,0
2,3,1,812,4,6980
2,3,1,812,5,0
2,4,1,815,1,62369
2,4,1,815,2,35793
2,4,1,815,3,0
2,4,1,815,4,188185
2,4,1,815,5,0
2,5,1,817,1,7998
2,5,1,817,2,4590
2,5,1,817,3,0
2,5,1,817,4,24134
2,5,1,817,5,0
2,6,1,816,1,33812
2,6,1,816,2,34401
2,6,1,816,3,0
2,6,1,816,4,130770
2,6,1,816,5,0
2,7,1,870,1,2954
2,7,1,870,2,0
2,7,1,870,3,0
2,7,1,870,4,0
2,7,1,870,5,0
4,1,1,36,1,10766
4,1,1,36,2,5383
4,1,1,36,3,0
4,1,1,36,4,11814
4,1,1,36,5,0
4,1,1,831,1,113502
4,1,1,831,2,41089
4,1,1,831,3,0
4,1,1,831,4,58855
4,1,1,831,5,0
4,1,1,902,1,1677
4,1,1,902,2,838
4,1,1,902,3,0
4,1,1,902,4,1839
4,1,1,902,5,0
4,1,1,903,1,3321
4,1,1,903,2,1661
4,1,1,903,3,0
4,1,1,903,4,3651
4,1,1,903,5,0
4,1,1,904,1,9669
4,1,1,904,2,4834
4,1,1,904,3,0
4,1,1,904,4,10611
4,1,1,904,5,0
4,1,1,916,1,97
4,1,1,916,2,49
4,1,1,916,3,0
4,1,1,916,4,107
4,1,1,916,5,0
4,1,1,924,1,21
4,1,1,924,2,10
4,1,1,924,3,0
4,1,1,924,4,23
4,1,1,924,5,0
4,1,2,940,1,6414
4,1,2,940,2,3678
4,1,2,940,3,0
4,1,2,940,4,19332
4,1,2,940,5,0
4,1,2,941,1,71294
4,1,2,941,2,27206
4,1,2,941,3,0
4,1,2,941,4,119158
4,1,2,941,5,0
4,1,2,942,1,5575
4,1,2,942,2,3197
4,1,2,942,3,0
4,1,2,942,4,16806
4,1,2,942,5,0
4,1,2,943,1,102
4,1,2,943,2,58
4,1,2,943,3,0
4,1,2,943,4,306
4,1,2,943,5,0
4,1,2,944,1,76
4,1,2,944,2,44
4,1,2,944,3,0
4,1,2,944,4,229
4,1,2,944,5,0
4,1,3,945,1,5408
4,1,3,945,2,1408
4,1,3,945,3,0
4,1,3,945,4,4450
4,1,3,945,5,0
4,1,4,946,1,128
4,1,4,946,2,74
4,1,4,946,3,0
4,1,4,946,4,389
4,1,4,946,5,0
5,1,1,820,1,0
5,1,1,820,2,0
5,1,1,820,3,0
5,1,1,820,4,69626
5,1,1,820,5,345190
7,1,1,823,1,0
7,1,1,823,2,0
7,1,1,823,3,0
7,1,1,823,4,3963
7,1,1,823,5,0
7,1,3,824,1,0
7,1,3,824,2,0
7,1,3,824,3,0
7,1,3,824,4,5
7,1,3,824,5,195313
7,3,1,826,1,0
7,3,1,826,2,0
7,3,1,826,3,0
7,3,1,826,4,226
7,3,1,826,5,6120
