"年[西暦]","木造[件]","鉄骨鉄筋コンクリート造[件]","鉄筋コンクリート造[件]","鉄骨造[件]","コンクリートブロック[件]","その他[件]","合計[件]"
"2014","3","1","14","20","0","2","40"
"2015","2","1","10","17","0","0","30"
"2016","2","2","8","22","0","1","35"
"2017","4","3","17","21","0","1","46"
"2018","2","1","6","44","0","0","53"

"令和元年度港区行政資料集　建築物確認申請件数","Ver201903",,,,,,
