区分,調査数,テレビ,Webサイト,タブレット・スマートフォンによるアプリ,友人・知人等との会話から,Facebook・Twitter等のSNS,新聞・雑誌,ラジオ,個人のブログ,その他,特にない,無回答
全体,1058,470,295,211,199,197,98,37,23,19,221,23
全体(%),100,44.4,27.9,19.9,18.8,18.6,9.3,3.5,2.2,1.8,20.9,2.2
火災／対策あり層,348,203,102,92,90,97,51,16,11,5,26,6
火災／対策あり層(%),100,58.3,29.3,26.4,25.9,27.9,14.7,4.6,3.2,1.4,7.5,1.7
火災／対策なし層,688,264,193,117,108,100,47,21,12,13,192,4
火災／対策なし層(%),100,38.4,28.1,17.0,15.7,14.5,6.8,3.1,1.7,1.9,27.9,0.6
地震／対策あり層,436,241,133,115,114,112,54,18,13,7,37,6
地震／対策あり層(%),100,55.3,30.5,26.4,26.1,25.7,12.4,4.1,3.0,1.6,8.5,1.4
地震／対策なし層,603,227,162,95,84,85,44,19,10,11,182,4
地震／対策なし層(%),100,37.6,26.9,15.8,13.9,14.1,7.3,3.2,1.7,1.8,30.2,0.7
津波／対策あり層,340,195,93,95,96,95,47,14,11,7,26,5
津波／対策あり層(%),100,57.4,27.4,27.9,28.2,27.9,13.8,4.1,3.2,2.1,7.6,1.5
津波／対策なし層,696,271,200,114,102,102,51,23,12,11,193,4
津波／対策なし層(%),100,38.9,28.7,16.4,14.7,14.7,7.3,3.3,1.7,1.6,27.7,0.6
台風／対策あり層,313,186,94,83,85,88,46,14,9,4,22,5
台風／対策あり層(%),100,59.4,30.0,26.5,27.2,28.1,14.7,4.5,2.9,1.3,7.0,1.6
台風／対策なし層,722,281,201,126,112,109,52,23,14,14,195,4
台風／対策なし層(%),100,38.9,27.8,17.5,15.5,15.1,7.2,3.2,1.9,1.9,27.0,0.6
集中豪雨／対策あり層,266,159,79,71,73,75,40,15,8,3,19,5
集中豪雨／対策あり層(%),100,59.8,29.7,26.7,27.4,28.2,15.0,5.6,3.0,1.1,7.1,1.9
集中豪雨／対策なし層,766,307,215,138,122,119,57,22,15,15,199,4
集中豪雨／対策なし層(%),100,40.1,28.1,18.0,15.9,15.5,7.4,2.9,2.0,2.0,26.0,0.5
落雷／対策あり層,243,143,65,66,66,68,37,14,8,3,18,5
落雷／対策あり層(%),100,58.8,26.7,27.2,27.2,28.0,15.2,5.8,3.3,1.2,7.4,2.1
落雷／対策なし層,792,323,230,143,131,127,60,23,15,15,200,4
落雷／対策なし層(%),100,40.8,29.0,18.1,16.5,16.0,7.6,2.9,1.9,1.9,25.3,0.5
竜巻／対策あり層,252,150,66,68,73,69,40,16,8,3,19,5
竜巻／対策あり層(%),100,59.5,26.2,27.0,29.0,27.4,15.9,6.3,3.2,1.2,7.5,2.0
竜巻／対策なし層,781,314,228,140,122,125,57,21,15,15,199,4
竜巻／対策なし層(%),100,40.2,29.2,17.9,15.6,16.0,7.3,2.7,1.9,1.9,25.5,0.5
猛暑・熱中症／対策あり層,326,182,92,87,93,93,42,16,12,4,30,5
猛暑・熱中症／対策あり層(%),100,55.8,28.2,26.7,28.5,28.5,12.9,4.9,3.7,1.2,9.2,1.5
猛暑・熱中症／対策なし層,704,280,200,122,104,101,55,21,11,14,188,4
猛暑・熱中症／対策なし層(%),100,39.8,28.4,17.3,14.8,14.3,7.8,3.0,1.6,2.0,26.7,0.6
その他／対策あり層,80,37,19,21,20,20,5,1,2,3,6,4
その他／対策あり層(%),100,46.3,23.8,26.3,25.0,25.0,6.3,1.3,2.5,3.8,7.5,5.0
その他／対策なし層,285,113,85,50,42,37,21,9,3,6,70,1
その他／対策なし層(%),100,39.6,29.8,17.5,14.7,13.0,7.4,3.2,1.1,2.1,24.6,0.4
