試算項目,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
施設整備費,11564,17538,5686,8045,3677,4918,75271,105823
大会運営費,15510,23329,7855,11098,4132,5848,84857,127816
大会参加者・観戦者の消費支出,2863,4237,1559,2157,795,1088,24477,31967
家計消費支出,2915,5616,1638,2795,847,1456,17312,33313
国際映像制作・伝送費,512,694,261,349,122,169,2209,3458
企業マーケティング活動費,555,748,288,380,135,185,2550,3888
合計,33919,52162,17287,24824,9708,13664,206676,306265
