区分,n,対策あり層(%),対策なし層(%),無回答(%)
全体,1058,25.0,71.7,3.2
アジア,790,25.2,71.4,3.4
北米,102,28.4,69.6,2.0
ヨーロッパ,135,24.4,74.1,1.5
オセアニア,30,13.3,76.7,10.0
その他,1,0.0,100.0,0.0
