区分,調査数,非常に安心,安心,不安,非常に不安
窃盗,1127,544,453,124,6
窃盗(%),100.0,48.3,40.2,11.0,0.5
傷害,1127,418,553,142,14
傷害(%),100.0,37.1,49.1,12.6,1.2
殺人,1127,436,523,151,17
殺人(%),100.0,38.7,46.4,13.4,1.5
交通犯罪（加害：自ら運転中等）,1127,392,567,151,17
交通犯罪（加害：自ら運転中等）(%),100.0,34.8,50.3,13.4,1.5
交通犯罪（被害：交通事故に遭う）,1127,408,551,152,16
交通犯罪（被害：交通事故に遭う）(%),100.0,36.2,48.9,13.5,1.4
サイバー犯罪,1127,268,601,235,23
サイバー犯罪(%),100.0,23.8,53.3,20.9,2.0
テロ,1127,421,523,168,15
テロ(%),100.0,37.4,46.4,14.9,1.3
