区分,調査数,テレビ,友人・知人等との会話から,Webサイト,Facebook・Twitter等のSNS,タブレット・スマートフォン,新聞・雑誌,個人のブログ,ラジオ,その他,特に情報収集はしていない,
全体,1058,365,233,232,162,162,77,28,22,20,348,4
全体(%),100.0,34.5,22.0,21.9,15.3,15.3,7.3,2.6,2.1,1.9,32.9,0.4
110番を知っている,683,192,143,144,96,90,39,20,12,17,251,4
110番を知っている(%),100.0,28.1,20.9,21.1,14.1,13.2,5.7,2.9,1.8,2.5,36.7,0.6
110番を知っていない,368,168,87,87,65,69,37,8,10,3,97,-
110番を知っていない(%),100.0,45.7,23.6,23.6,17.7,18.8,10.1,2.2,2.7,0.8,26.4,-
