種別,名称,所在地,面積(m2),延床面積(m2),数量(個),数量(式),数量(本),数量(m2)
土地,東京体育館,渋谷区,17513.91,,,,,
土地,駒沢オリンピック公園総合運動場専用駐車場,世田谷区,9094.49,,,,,
土地,駒沢オリンピック公園総合運動場専用駐車場,世田谷区,357.45,,,,,
土地,東京都障害者総合スポーツセンター,北区,21656.88,,,,,
土地,東京都多摩障害者スポーツセンター,国立市,9102.15,,,,,
土地,武蔵野の森総合スポーツ施設敷地,調布市,6854.25,,,,,
土地,旧調布基地跡地整備関連事業用地,調布市,29264.34,,,,,
土地,調布基地跡地整備関連事業用地,調布市,10887.15,,,,,
建物,東京体育館,渋谷区,,45251.89,,,,
建物,駒沢オリンピック公園陸上競技場,世田谷区,,12073.9,,,,
建物,駒沢オリンピック公園屋内球技場,世田谷区,,10069.48,,,,
建物,駒沢オリンピック公園体育館,世田谷区,,13385.76,,,,
建物,駒沢オリンピック公園第二球技場,世田谷区,,545.23,,,,
建物,駒沢オリンピック公園弓道場,世田谷区,,327.83,,,,
建物,駒沢オリンピック公園弓道場的場,世田谷区,,91.3,,,,
建物,駒沢オリンピック公園水泳場,世田谷区,,528.75,,,,
建物,駒沢オリンピック公園管制塔ほか附属施設等5件,世田谷区,,2060.43,,,,
建物,東京武道館,足立区,,17613.72,,,,
建物,東京辰巳国際水泳場,江東区,,22319.26,,,,
建物,有明テニスの森公園有明コロシアム,江東区,,28123.46,,,,
建物,有明テニスの森公園クラブハウスほか附属施設等14件,江東区,,20032.44,,,,
建物,若洲海浜公園ヨット訓練所艇庫ほか2件,江東区,,1675.64,,,,
建物,東京都障害者総合スポーツセンター,北区,,5997.96,,,,
建物,障害者総合スポーツセンター洋弓場,北区,,1458.00,,,,
建物,東京都多摩障害者スポーツセンター,国立市,,4996.59,,,,
建物,東京都多摩障害者スポーツセンター宿泊棟,国立市,,1392.66,,,,
建物,調布庁舎,調布市,,6195.35,,,,
工作物,駒沢オリンピック公園陸上競技場トラックフィールド,世田谷区,,,1,,,
工作物,駒沢オリンピック公園第一球技場,世田谷区,,,1,,,
工作物,駒沢オリンピック公園第二球技場フィールド,世田谷区,,,1,,,
工作物,駒沢オリンピック公園総合運動場テニスコート（砂入り人工芝）,世田谷区,,,,1,,
工作物,駒沢オリンピック公園補助競技場,世田谷区,,,1,,,
工作物,駒沢オリンピック公園軟式野球場グランド,世田谷区,,,,,,12565
工作物,駒沢オリンピック公園硬式野球場グランド,世田谷区,,,1,,,
工作物,有明テニスの森公園駐車場,江東区,,,1,,,
工作物,有明テニスの森公園砂入り人工芝（テニスコート）,江東区,,,,,,5300
工作物,若洲海浜公園ヨット訓練所ボートヤード,江東区,,,1,,,
工作物,障害者総合スポーツセンター運動場,北区,,,1,,,
工作物,障害者総合スポーツセンター庭球場,北区,,,1,,,
工作物,東京体育館南通用門ほか102件,中央区、江東区、世田谷区、渋谷区、国立市,,,－,,,
浮桟橋等,若洲海浜公園ヨット訓練所浮桟橋,江東区,,,5,,,
立木,樹木（駒沢オリンピック公園総合運動場、東京武道館、東京辰巳国際水泳場）,世田谷区、足立区、江東区,,,,,418,
