区分,調査数,非常に安心,安心,不安,非常に不安
火災,1127,235,510,349,33
火災(%),100.0,20.9,45.3,31.0,2.9
地震,1127,60,185,585,297
地震(%),100.0,5.3,16.4,51.9,26.4
津波,1127,83,276,579,189
津波(%),100.0,7.4,24.5,51.4,16.8
台風,1127,135,432,489,71
台風(%),100.0,12.0,38.3,43.4,6.3
集中豪雨,1127,186,545,353,43
集中豪雨(%),100.0,16.5,48.4,31.3,3.8
落雷,1127,235,581,271,40
落雷(%),100.0,20.9,51.6,24.0,3.5
竜巻,1127,246,499,335,47
竜巻(%),100.0,21.8,44.3,29.7,4.2
猛暑・熱中症,1127,177,441,436,73
猛暑・熱中症(%),100.0,15.7,39.1,38.7,6.5
大雪,1127,235,486,357,49
大雪(%),100.0,20.9,43.1,31.7,4.3
その他,1127,786,209,102,30
その他(%),100.0,69.7,18.5,9.1,2.7
