産業分類,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
財・サービス部門計,32175,48572,16058,22155,8938,11956,191475,264389
財・サービス部門計／第一次産業,11,377,7,182,3,43,75,2549
財・サービス部門計／第二次産業,11681,20263,5033,7286,4025,5207,83310,104478
財・サービス部門計／第二次産業／鉱工業,1589,10023,555,2758,408,1552,7585,27335
財・サービス部門計／第二次産業／建設業,10092,10240,4478,4528,3617,3655,75725,77143
財・サービス部門計／第三次産業,20483,27932,11018,14687,4910,6706,108090,157362
財・サービス部門計／第三次産業／商業,2452,3980,1636,2396,817,1233,17472,32526
財・サービス部門計／第三次産業／金融・保険・不動産業,2297,3165,1613,2253,260,379,3486,5319
財・サービス部門計／第三次産業／運輸・通信業,3704,5844,1618,2523,790,1250,11807,22693
財・サービス部門計／第三次産業／サービス業,11260,13421,5858,7012,2943,3661,74335,94808
財・サービス部門計／第三次産業／その他,770,1522,293,503,100,183,990,2016
本社部門,1744,3590,1229,2669,770,1708,15201,41876
総計,33919,52162,17287,24824,9708,13664,206676,306265
