区分,n,対策あり層(%),対策なし層(%),無回答(%)
火災,1058,32.9,65.0,2.1
地震,1058,41.2,57.0,1.8
津波,1058,32.1,65.8,2.1
台風,1058,29.6,68.2,2.2
集中豪雨,1058,25.1,72.4,2.5
落雷,1058,23.0,74.9,2.2
竜巻,1058,23.8,73.8,2.4
猛暑・熱中症,1058,30.8,66.5,2.6
その他,1058,7.6,26.9,65.5
