項目,内容,需要増加額(億円)
施設整備費,恒久施設整備費,3500
大会運営費,仮設施設整備費、エネルギーインフラ、輸送、セキュリティ、テクノロジー、オペレーション、管理・広報、その他,10600
その他,大会参加者・観戦者支出、家計消費支出、国際映像制作・伝送費、企業マーケティング活動費,5690
合計,,19790
