産業分類,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
財・サービス部門計,161052,251612,82222,116089,47596,64262,1007135,1406346
財・サービス部門計／第一次産業,68,2189,43,1053,17,248,417,10799
財・サービス部門計／第二次産業,63480,109761,27661,39760,22184,28345,436700,559331
財・サービス部門計／第二次産業／鉱工業,4449,49881,1468,13277,1027,6968,17794,132727
財・サービス部門計／第二次産業／建設業,59031,59880,26193,26483,21157,21377,418906,426604
財・サービス部門計／第三次産業,97504,139662,54518,75276,25395,35669,570018,836216
財・サービス部門計／第三次産業／商業,20605,31018,13751,18928,6869,9701,140481,237741
財・サービス部門計／第三次産業／金融・保険・不動産業,11732,16615,8159,11758,1453,2124,18524,28666
財・サービス部門計／第三次産業／運輸・通信業,17931,30733,8033,13483,4205,7123,67175,133512
財・サービス部門計／第三次産業／サービス業,42524,52398,22688,28032,12099,15479,336628,423293
財・サービス部門計／第三次産業／その他,4712,8898,1887,3075,769,1242,7210,13004
本社部門,9436,19405,6652,14427,4169,9230,82241,226328
総計,170488,271017,88874,130516,51765,73492,1089376,1632674
