産業分類,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
財・サービス部門計,68103,105394,36987,51611,18745,25784,434517,610925
財・サービス部門計／第一次産業,44,1352,28,651,11,153,274,6673
財・サービス部門計／第二次産業,8613,24371,3610,7755,2837,4797,55585,96282
財・サービス部門計／第二次産業／鉱工業,1923,17336,641,4669,439,2310,8108,45678
財・サービス部門計／第二次産業／建設業,6690,7035,2969,3086,2398,2487,47477,50604
財・サービス部門計／第三次産業,59446,79671,33349,43205,15897,20834,378658,507970
財・サービス部門計／第三次産業／商業,13337,18591,8901,11513,4446,5875,90932,139996
財・サービス部門計／第三次産業／金融・保険・不動産業,6223,8283,4341,5859,750,1033,9621,13903
財・サービス部門計／第三次産業／運輸・通信業,10825,17618,4883,7780,2604,4175,42669,78475
財・サービス部門計／第三次産業／サービス業,26713,30991,14302,16599,7682,9120,231522,268993
財・サービス部門計／第三次産業／その他,2348,4188,922,1454,415,631,3914,6603
本社部門,3880,8068,2735,6002,1714,3841,33813,94353
総計,71983,113462,39722,57613,20459,29625,468330,705278
