試算項目,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
１新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性,31366,52732,15195,23421,10081,14464,197251,300994
２スポーツ、都民参加・ボランティア、文化、教育・多様性,10328,17028,5621,8358,2848,4244,70866,106016
３経済の活性化・最先端技術の活用,128794,201257,68058,98737,38836,54784,821259,1225664
合計,170488,271017,88874,130516,51765,73492,1089376,1632674
