区分,調査数,テレビ,Webサイト,友人・知人等との会話から,Facebook・Twitter等のSNS,タブレット・スマートフォンによるアプリ,新聞・雑誌,個人のブログ,ラジオ,その他,特に情報収集はしていない,無回答
全体,1058,362,358,306,187,172,147,84,21,23,280,3
全体(%),100,34.2,33.8,28.9,17.7,16.3,13.9,7.9,2.0,2.2,26.5,0.3
110番を知っている,683,202,226,199,111,92,91,62,12,18,204,3
110番を知っている(%),100,29.6,33.1,29.1,16.3,13.5,13.3,9.1,1.8,2.6,29.9,0.4
110番を知っていない,368,155,130,105,75,79,55,22,9,5,76,-
110番を知っていない(%),100,42.1,35.3,28.5,20.4,21.5,14.9,6.0,2.4,1.4,20.7,-
