産業分類,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
財・サービス部門計,193226,300185,98279,138244,56534,76218,1198610,1670735
財・サービス部門計／第一次産業,79,2566,50,1235,20,291,492,13348
財・サービス部門計／第二次産業,75160,130024,32694,47046,26209,33552,520010,663809
財・サービス部門計／第二次産業／鉱工業,6038,59904,2023,16035,1434,8520,25379,160062
財・サービス部門計／第二次産業／建設業,69122,70120,30671,31011,24775,25032,494631,503747
財・サービス部門計／第三次産業,117987,167595,65535,89963,30305,42375,678108,993578
財・サービス部門計／第三次産業／商業,23057,34999,15388,21325,7686,10934,157953,270267
財・サービス部門計／第三次産業／金融・保険・不動産業,14029,19780,9772,14011,1712,2502,22010,33985
財・サービス部門計／第三次産業／運輸・通信業,21636,36577,9650,16005,4995,8373,78982,156205
財・サービス部門計／第三次産業／サービス業,53783,65819,28546,35044,15042,19141,410963,518101
財・サービス部門計／第三次産業／その他,5482,10420,2179,3578,870,1425,8200,15020
本社部門,11181,22994,7882,17096,4939,10938,97442,268204
総計,204407,323179,106161,155340,61473,87156,1296052,1938939
