試算項目,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
直接的効果,33919,52162,17287,24824,9708,13664,206676,306265
レガシー効果,170488,271017,88874,130516,51765,73492,1089376,1632674
合計,204407,323179,106161,155340,61473,87156,1296052,1938939
