区分,調査数,テレビ,ラジオ,新聞・雑誌,Webサイト,個人のブログ,Facebook・Twitter等のSNS,タブレット・スマートフォン,友人・知人等との会話から,その他,特にない
全体,1127,753,167,231,559,93,456,274,466,24,15
全体(%),100,66.8,14.8,20.5,49.6,8.3,40.5,24.3,41.3,2.1,1.3
火災／対策あり層,1008,691,155,216,497,85,397,248,412,23,13
火災／対策あり層(%),100,68.6,15.4,21.4,49.3,8.4,39.4,24.6,40.9,2.3,1.3
火災／対策なし層,109,56,12,15,58,7,56,24,50,1,2
火災／対策なし層(%),100,51.4,11.0,13.8,53.2,6.4,51.4,22.0,45.9,0.9,1.8
地震／対策あり層,1073,728,164,226,538,91,435,265,443,23,13
地震／対策あり層(%),100,67.8,15.3,21.1,50.1,8.5,40.5,24.7,41.3,2.1,1.2
地震／対策なし層,51,23,3,5,21,2,20,8,22,1,2
地震／対策なし層(%),100,45.1,5.9,9.8,41.2,3.9,39.2,15.7,43.1,2.0,3.9
津波／対策あり層,974,669,153,210,487,87,386,237,387,20,10
津波／対策あり層(%),100,68.7,15.7,21.6,50.0,8.9,39.6,24.3,39.7,2.1,1.0
津波／対策なし層,144,78,13,21,67,6,66,34,74,4,5
津波／対策なし層(%),100,54.2,9.0,14.6,46.5,4.2,45.8,23.6,51.4,2.8,3.5
台風／対策あり層,916,633,148,201,456,83,359,218,363,19,11
台風／対策あり層(%),100,69.1,16.2,21.9,49.8,9.1,39.2,23.8,39.6,2.1,1.2
台風／対策なし層,207,116,18,30,102,10,96,56,103,5,4
台風／対策なし層(%),100,56.0,8.7,14.5,49.3,4.8,46.4,27.1,49.8,2.4,1.9
集中豪雨／対策あり層,841,583,136,182,429,75,304,195,312,19,11
集中豪雨／対策あり層(%),100,69.3,16.2,21.6,51.0,8.9,36.1,23.2,37.1,2.3,1.3
集中豪雨／対策なし層,275,162,29,47,127,17,146,78,150,5,4
集中豪雨／対策なし層(%),100,58.9,10.5,17.1,46.2,6.2,53.1,28.4,54.5,1.8,1.5
落雷／対策あり層,775,539,124,172,399,72,268,171,269,18,10
落雷／対策あり層(%),100,69.5,16.0,22.2,51.5,9.3,34.6,22.1,34.7,2.3,1.3
落雷／対策なし層,341,203,40,57,157,21,182,101,193,6,5
落雷／対策なし層(%),100,59.5,11.7,16.7,46.0,6.2,53.4,29.6,56.6,1.8,1.5
竜巻／対策あり層,841,582,138,184,436,78,311,198,314,19,11
竜巻／対策あり層(%),100,69.2,16.4,21.9,51.8,9.3,37.0,23.5,37.3,2.3,1.3
竜巻／対策なし層,273,159,28,47,120,15,140,75,144,5,4
竜巻／対策なし層(%),100,58.2,10.3,17.2,44.0,5.5,51.3,27.5,52.7,1.8,1.5
猛暑・熱中症／対策あり層,849,596,136,184,440,77,314,197,319,20,10
猛暑・熱中症／対策あり層(%),100,70.2,16.0,21.7,51.8,9.1,37.0,23.2,37.6,2.4,1.2
猛暑・熱中症／対策なし層,270,150,30,46,118,15,140,76,142,4,5
猛暑・熱中症／対策なし層(%),100,55.6,11.1,17.0,43.7,5.6,51.9,28.1,52.6,1.5,1.9
大雪／対策あり層,836,581,131,182,429,78,309,193,310,19,10
大雪／対策あり層(%),100,69.5,15.7,21.8,51.3,9.3,37.0,23.1,37.1,2.3,1.2
大雪／対策なし層,284,168,35,49,129,15,145,79,155,4,5
大雪／対策なし層(%),100,59.2,12.3,17.3,45.4,5.3,51.1,27.8,54.6,1.4,1.8
テロ／対策あり層,856,593,137,188,444,79,328,200,324,20,10
テロ／対策あり層(%),100,69.3,16.0,22.0,51.9,9.2,38.3,23.4,37.9,2.3,1.2
テロ／対策なし層,267,157,30,42,114,14,128,73,142,4,5
テロ／対策なし層(%),100,58.8,11.2,15.7,42.7,5.2,47.9,27.3,53.2,1.5,1.9
大雪／�2635","15","587","26","382","47","753","31","422","13","156","1","56","10","994","1","11","41","4845"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","闃晢ｼ穂ｸ∫岼","1050","30624","-","-","-","-","-","-","34","1251","27","1202","-","-","110","4341","26","663","166","11963","31","1298","71","1985","112","1349","237","2672","53","471","22","300","54","414","2","20","105","2695"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","豬ｷ蟯ｸ�台ｸ∫岼","359","19515","-","-","-","-","-","-","14","531","11","334","5","3554","32","4796","21","881","65","3814","9","1162","26","160","34","1122","53","1182","17","227","5","348","13","129","1","6","53","1269"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譚ｱ譁ｰ讖具ｼ台ｸ∫岼","444","52402","-","-","-","-","-","-","5","149","13","1274","2","98","60","17198","23","2683","86","18780","16","163","12","69","32","7212","98","2564","19","231","7","67","22","239","2","14","47","1661"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譚ｱ譁ｰ讖具ｼ剃ｸ∫岼","272","6742","-","-","-","-","-","-","5","238","6","61","-","-","46","959","9","239","57","1673","13","398","26","341","49","588","13","241","8","48","1","1","3","11","-","-","36","1944"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譁ｰ讖具ｼ台ｸ∫岼","444","7076","1","1","-","-","-","-","1","257","6","59","1","38","14","425","11","293","77","1094","31","1026","38","227","47","563","97","1744","23","358","5","64","38","259","1","15","53","653"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譁ｰ讖具ｼ剃ｸ∫岼","1042","12623","-","-","-","-","-","-","8","23","9","200","-","-","36","918","20","438","185","1915","20","774","66","473","92","509","377","3475","82","630","12","55","74","1006","1","14","60","2193"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譁ｰ讖具ｼ謎ｸ∫岼","621","6778","-","-","-","-","-","-","12","142","13","85","-","-","35","1179","30","415","59","427","6","73","40","283","37","216","303","2236","29","681","6","125","20","107","-","-","31","809"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譁ｰ讖具ｼ比ｸ∫岼","419","5100","1","16","-","-","-","-","24","284","7","31","1","2","20","832","12","74","78","1067","5","104","33","186","34","414","147","841","14","58","6","94","7","44","1","10","29","1043"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譁ｰ讖具ｼ穂ｸ∫岼","672","11719","-","-","-","-","1","-","42","620","37","1172","-","-","78","1773","26","1271","151","2397","21","788","46","338","71","450","59","565","35","277","6","54","25","197","-","-","74","1817"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","譁ｰ讖具ｼ紋ｸ∫岼","427","10763","-","-","-","-","-","-","26","514","22","136","-","-","40","2665","21","217","100","2699","9","332","40","203","58","464","29","1801","12","46","2","52","14","669","-","-","54","965"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","隘ｿ譁ｰ讖具ｼ台ｸ∫岼","1058","16323","-","-","-","-","1","162","10","53","24","354","3","4","54","1514","36","643","145","3420","37","818","120","2122","342","2436","105","718","23","368","7","30","33","321","1","17","117","3343"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","隘ｿ譁ｰ讖具ｼ剃ｸ∫岼","606","11572","-","-","-","-","-","-","19","227","22","1170","-","-","51","2341","21","486","121","2917","15","298","45","710","153","1363","53","350","20","520","4","26","17","164","-","-","65","1000"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","隘ｿ譁ｰ讖具ｼ謎ｸ∫岼","452","11823","-","-","-","-","-","-","27","828","12","130","-","-","47","975","20","1299","101","2620","14","402","25","261","77","553","33","183","16","195","6","385","16","3207","1","2","57","783"
"闃晏慍蛹ｺ邱丞粋謾ｯ謇�","荳臥伐�台ｸ∫岼","229","9191","-","-","-","-","-","-","9","114","13","265","-","-","29","3358","4","62","59","1446","2","65","14","196","19","292","13","270","5","45","3","21","20","2314","1","6","38","737"
