区分,調査数,日本語,ひらがな,片仮名,漢字,英語,中国語,韓国語
簡単なものは読める,1127,,1007,979,860,957,424,52
簡単なものは読める(%),100.0,,89.4,86.9,76.3,84.9,37.6,4.6
簡単なものは書ける,1127,,992,950,763,933,412,42
簡単なものは書ける(%),100.0,,88.0,84.3,67.7,82.8,36.6,3.7
簡単に聞ける,1127,824,,,,1006,411,34
簡単に聞ける(%),100.0,73.1,,,,89.3,36.5,3.0
簡単に話す,1127,725,,,,986,407,31
簡単に話す(%),100.0,64.3,,,,87.5,36.1,2.8
