区分,調査数,近隣で発生した事件・事故等の情報,安全確保の方法,緊急時に必要な相談窓口の情報,その他,特にない
全体,1127,680,556,458,19,132
全体(%),100.0,60.3,49.3,40.6,1.7,11.7
