区分,調査数,地震・津波,1以外の自然災害,安全確保,災害時に言葉が通じない,原発、放射能,情報不足,テロ,その他,無回答
全体,550,322,104,41,21,15,13,2,46,32
全体(%),100.0,58.5,18.9,7.5,3.8,2.7,2.4,0.4,8.4,5.8
