試算項目,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
１新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性,11202,17326,5551,8039,3551,4861,72270,104388
２スポーツ、都民参加・ボランティア、文化、教育・多様性,6467,10841,3517,5265,1777,2668,44995,67218
３経済の活性化・最先端技術の活用,54314,85295,30654,44309,15131,22096,351065,533672
合計,71983,113462,39722,57613,20459,29625,468330,705278
