競技,種目,種目数,会場
野球・ソフトボール,野球（男子）,1,横浜スタジアム／福島あづま球場
野球・ソフトボール,ソフトボール（女子）,1,横浜スタジアム／福島あづま球場
空手,形（男女）,2,日本武道館
空手,組手（男女各３階級）,6,日本武道館
スケートボード,ストリート（男女）,2,青海アーバンスポーツ会場
スケートボード,パーク（男女）,2,青海アーバンスポーツ会場
スポーツクライミング,ボルダリング・リード・スピードの複合（男女）,2,青海アーバンスポーツ会場
サーフィン,ショートボード（男女）,2,釣ヶ崎海岸サーフィン会場
計,―,18,―
