区分,調査数,電話で通報,交番に行く・連絡する,学校・勤務先へ連絡・相談する,家族へ連絡・相談する,友人・知人へ連絡・相談する,日本の知人に連絡・相談する,その他,わからない,
窃盗,1127,670,789,204,226,191,183,15,14,
窃盗(%),100.0,59.4,70.0,18.1,20.1,16.9,16.2,1.3,1.2,
傷害,1127,619,533,255,284,215,188,44,13,
傷害(%),100.0,54.9,47.3,22.6,25.2,19.1,16.7,3.9,1.2,
殺人,1127,745,661,185,235,164,152,14,27,
殺人(%),100.0,66.1,58.7,16.4,20.9,14.6,13.5,1.2,2.4,
交通犯罪（加害：自ら運転中等）,1127,728,532,192,228,172,181,18,21,
交通犯罪（加害：自ら運転中等）(%),100.0,64.6,47.2,17.0,20.2,15.3,16.1,1.6,1.9,
交通犯罪（被害：交通事故に遭う）,1127,730,552,209,246,185,185,17,18,
交通犯罪（被害：交通事故に遭う）(%),100.0,64.8,49.0,18.5,21.8,16.4,16.4,1.5,1.6,
サイバー犯罪,1127,619,526,201,224,212,164,24,54,
サイバー犯罪(%),100.0,54.9,46.7,17.8,19.9,18.8,14.6,2.1,4.8,
テロ,1127,731,572,203,235,193,166,23,56,
テロ(%),100.0,64.9,50.8,18.0,20.9,17.1,14.7,2.0,5.0,
