項目,内容,需要増加額(億円)
新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性,新規恒久施設・選手村の後利用、大会関連交通インフラ整備、バリアフリー対策、水素社会の実現等,22572
スポーツ、都民参加・ボランティア、文化、教育・多様性,スポーツ実施者・観戦者の増加、障害者スポーツの振興、ボランティア活動者の増加、文化イベント観客の増加、外国人留学生の増加等,8159
経済の活性化・最先端技術の活用,観光需要の拡大、国際ビジネス拠点の形成、中小企業の振興、ＩＴＳ・ロボット産業の拡大等,91666
合計,,122397
