産業分類,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
財・サービス部門計,125123,194791,61293,86632,37789,50433,764093,1059810
財・サービス部門計／第一次産業,34,1214,22,584,9,137,218,6675
財・サービス部門計／第二次産業,66547,105654,29085,39290,23372,28755,464425,567528
財・サービス部門計／第二次産業／鉱工業,4115,42569,1382,11366,996,6210,17271,114384
財・サービス部門計／第二次産業／建設業,62432,63085,27703,27924,22376,22545,447154,453144
財・サービス部門計／第三次産業,58542,87923,32186,46758,14408,21541,299450,485607
財・サービス部門計／第三次産業／商業,9719,16408,6486,9812,3240,5059,67021,130271
財・サービス部門計／第三次産業／金融・保険・不動産業,7806,11497,5431,8151,963,1470,12389,20082
財・サービス部門計／第三次産業／運輸・通信業,10811,18959,4767,8225,2391,4198,36313,77730
財・サービス部門計／第三次産業／サービス業,27071,34828,14244,18445,7360,10020,179441,249108
財・サービス部門計／第三次産業／その他,3135,6231,1258,2125,454,794,4286,8416
本社部門,7301,14926,5146,11095,3225,7098,63629,173851
総計,132424,209717,66439,97727,41014,57531,827722,1233661
