区分,調査数,テレビ,友人・知人等との会話から,Webサイト,Facebook・Twitter等のSNS,新聞・雑誌,タブレット・スマートフォンによるアプリ,個人のブログ,ラジオ,その他,特に情報収集はしていない
全体,1127,749,526,480,435,257,194,129,108,31,79
全体(%),100,66.5,46.7,42.6,38.6,22.8,17.2,11.4,9.6,2.8,7.0
110番を知っている,848,610,372,381,303,197,137,79,80,19,46
110番を知っている(%),100,71.9,43.9,44.9,35.7,23.2,16.2,9.3,9.4,2.2,5.4
110番を知っていない,279,139,154,99,132,60,57,50,28,12,33
110番を知っていない(%),100,49.8,55.2,35.5,47.3,21.5,20.4,17.9,10.0,4.3,11.8
