区分,調査数,家具転倒防止など、家の中の防災対策,飲料水・非常食等を備蓄,自宅近くの避難所・ルートの把握,安否情報の確認方法を決めている,地域住民とのコミュニケーションを日常的に行っている,防災訓練へ参加している,消火器・消火道具の準備をしている,救急相談案内へ連絡する,防災対策・対処はしていない,無回答
火災,1127,193,213,493,255,126,290,449,247,109,10
火災(%),100.0,17.1,18.9,43.7,22.6,11.2,25.7,39.8,21.9,9.7,0.9
地震,1127,508,567,768,324,175,360,128,194,51,3
地震(%),100.0,45.1,50.3,68.1,28.7,15.5,31.9,11.4,17.2,4.5,0.3
津波,1127,182,375,734,285,151,260,58,189,144,9
津波(%),100.0,16.1,33.3,65.1,25.3,13.4,23.1,5.1,16.8,12.8,0.8
台風,1127,175,386,588,257,111,175,52,151,207,4
台風(%),100.0,15.5,34.3,52.2,22.8,9.8,15.5,4.6,13.4,18.4,0.4
集中豪雨,1127,142,309,482,231,111,140,40,125,275,11
集中豪雨(%),100.0,12.6,27.4,42.8,20.5,9.8,12.4,3.5,11.1,24.4,1.0
落雷,1127,122,192,408,217,99,122,75,122,341,11
落雷(%),100.0,10.8,17.0,36.2,19.3,8.8,10.8,6.7,10.8,30.3,1.0
竜巻,1127,152,258,517,249,110,147,49,156,273,13
竜巻(%),100.0,13.5,22.9,45.9,22.1,9.8,13.0,4.3,13.8,24.2,1.2
猛暑・熱中症,1127,120,290,354,226,127,111,53,184,270,8
猛暑・熱中症(%),100.0,10.6,25.7,31.4,20.1,11.3,9.8,4.7,16.3,24.0,0.7
大雪,1127,122,328,445,246,124,131,41,154,284,7
大雪(%),100.0,10.8,29.1,39.5,21.8,11.0,11.6,3.6,13.7,25.2,0.6
テロ,1127,112,191,432,253,151,125,43,258,267,4
テロ(%),100.0,9.9,16.9,38.3,22.4,13.4,11.1,3.8,22.9,23.7,0.4
その他,1127,65,82,98,102,45,40,16,75,780,72
その他(%),100.0,5.8,7.3,8.7,9.1,4.0,3.5,1.4,6.7,69.2,6.4
