試算項目,生産誘発額／東京都(億円),生産誘発額／全国(億円),付加価値誘発額／東京都(億円),付加価値誘発額／全国(億円),雇用者所得誘発額／東京都(億円),雇用者所得誘発額／全国(億円),雇用誘発数／東京都(人),雇用誘発数／全国(人)
直接的効果,33919,52162,17287,24824,9708,13664,206676,306265
レガシー効果,98505,157555,49152,72903,31306,43867,621046,927396
レガシー効果／１新規恒久施設・選手村の後利用、東京のまちづくり、環境・持続可能性,20164,35406,9644,15382,6530,9603,124981,196606
レガシー効果／２スポーツ、都民参加・ボランティア、文化、教育・多様性,3861,6187,2104,3093,1071,1576,25871,38798
レガシー効果／３経済の活性化・最先端技術の活用,74480,115962,37404,54428,23705,32688,470194,691992
合計,132424,209717,66439,97727,41014,57531,827722,1233661
