規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,調査産業計,804305,405635,376503,29132,398670,114071,108385,104481,3904,5686
５人以上,"鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,建設業,878216,422836,384210,38626,455380,157973,150461,147380,3081,7512
５人以上,製造業,795920,417728,392709,25019,378192,153259,139573,133184,6389,13686
５人以上,電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,情報通信業,905348,421492,384084,37408,483856,153139,128566,123637,4929,24573
５人以上,"運輸業,郵便業",834849,397616,349354,48262,437233,157682,136794,124279,12515,20888
５人以上,"卸売業,小売業",738636,417064,396341,20723,321572,114462,110838,106805,4033,3624
５人以上,"金融業,保険業",1234232,510053,472961,37092,724179,187411,162488,158877,3611,24923
５人以上,"不動産業,物品賃貸業",886118,391100,362995,28105,495018,100455,98794,96141,2653,1661
５人以上,"学術研究,専門・技術サービス業",884532,467660,440657,27003,416872,159896,141526,136786,4740,18370
５人以上,"宿泊業,飲食サービス業",412407,305752,275134,30618,106655,83020,81908,78713,3195,1112
５人以上,"生活関連サービス業,娯楽業",494470,328629,307328,21301,165841,90368,87204,83864,3340,3164
５人以上,"教育,学習支援業",1026396,429807,415578,14229,596589,97133,92359,91114,1245,4774
５人以上,"医療,福祉",627994,355928,332876,23052,272066,130287,119852,117808,2044,10435
５人以上,複合サービス事業,1088648,405661,369899,35762,682987,200375,144133,132075,12058,56242
５人以上,サービス業（他に分類されないもの）,616719,327719,300380,27339,289000,143415,139896,133286,6610,3519
30人以上,調査産業計,894022,421275,388235,33040,472747,127381,119921,115154,4767,7460
30人以上,"鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,建設業,1057725,442034,393577,48457,615691,146626,134524,129810,4714,12102
30人以上,製造業,905211,440148,411781,28367,465063,174064,158293,146326,11967,15771
30人以上,電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,情報通信業,964435,429697,389617,40080,534738,171485,138686,133892,4794,32799
30人以上,"運輸業,郵便業",800044,399516,346410,53106,400528,155931,137686,124971,12715,18245
30人以上,"卸売業,小売業",862211,438090,414781,23309,424121,122882,118005,114105,3900,4877
30人以上,"金融業,保険業",1333527,543033,502681,40352,790494,198736,172464,168168,4296,26272
30人以上,"不動産業,物品賃貸業",1031976,417293,387936,29357,614683,97694,96136,92894,3242,1558
30人以上,"学術研究,専門・技術サービス業",960203,484626,453471,31155,475577,162704,147061,142392,4669,15643
30人以上,"宿泊業,飲食サービス業",499710,329142,296945,32197,170568,88100,86209,82277,3932,1891
30人以上,"生活関連サービス業,娯楽業",666814,357235,331264,25971,309579,86884,82724,79499,3225,4160
30人以上,"教育,学習支援業",1121753,455224,440070,15154,666529,103205,98717,97953,764,4488
30人以上,"医療,福祉",703632,371694,344213,27481,331938,148885,134025,130952,3073,14860
30人以上,複合サービス事業,1103896,423839,377769,46070,680057,186009,134441,115949,18492,51568
30人以上,サービス業（他に分類されないもの）,634412,318667,288751,29916,315745,145015,141917,134707,7210,3098
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年６月分,,,,,,,,,,,
第５表  規模、産業、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
