事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成26,2014,年平均,99.5,97.4,99.5,99,99.8,97.9,100.6,100.9,100.5,101.8,96.8,99.8,99.8,98.2,99.3,99.5
５人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,99.7,102.1,99.8,101.5,99.7,100.5,99.1,100,100.8,99,96.8,98.2,104.3,100.7,99.7,98.9
５人以上,平成29,2017,年平均,99.6,101,100.5,102.7,100.3,100,100.1,101.2,100.4,100.2,94.9,94.3,103.6,100.7,101.2,97.8
５人以上,平成30,2018,年平均,98.4,100,100.2,99.4,99.2,94.9,99.2,102.1,99.2,99.7,92,90.8,105.9,101.5,100.4,98
５人以上,平成31・令和元,2019,年平均,95.9,95.9,97.5,95.2,97.8,95.1,97.7,98.2,95.9,98.2,85.8,88.6,101.5,96.2,96.4,96.1
５人以上,平成31,2019,1月,89.3,84.1,87,90.7,89.8,89.9,90.8,92.6,90.9,90.6,83.4,86.9,96.1,89.7,92.2,91
５人以上,平成31,2019,2月,93.9,95.5,98.1,93.7,95.3,94.5,95.3,93.5,95,98.9,82.6,87.7,102.7,92.4,91.3,93.1
５人以上,平成31,2019,3月,96,96.1,97.8,95.9,98.1,94.4,96.8,97.4,99.4,99.4,85.1,87.9,106,94.7,98,97.6
５人以上,平成31,2019,4月,98.7,101,101.2,92.7,102.4,97.2,99.2,100.2,99.9,101.3,86.7,92.5,109.5,98.8,101.7,97.4
５人以上,令和元,2019,5月,93.5,89.7,91.3,93.2,95.3,93.1,94.8,96.1,93.4,95.5,86.7,90.1,105.3,93.9,93.9,92.7
５人以上,令和元,2019,6月,98,99.2,102.3,ｘ,98.3,97.6,100.6,99.2,99.8,100.9,86.4,89.7,103.3,97.6,97.5,97
５人以上,令和元,2019,7月,100.8,102.2,102.5,ｘ,103.8,97.9,102.9,106.2,99,104.9,86.8,92.3,107.3,100.3,102,101.8
５人以上,令和元,2019,8月,95.2,94.7,96,93.4,98.1,95.4,96.6,99.3,92.7,97.1,87.6,89.4,85.5,98.5,94.3,97.2
５人以上,令和元,2019,9月,94,94.4,95.7,90.3,93,92.9,97.1,94.1,94.2,93.9,85.6,87.1,98.5,96.1,91.2,94.6
５人以上,令和元,2019,10月,96.8,96.2,97.5,99.9,99.6,96,98.8,100.5,95.4,100.6,85.5,87.8,100.4,97.3,99.4,97.5
５人以上,令和元,2019,11月,97.7,100.3,101,95.4,99.9,96.3,100.2,99.6,96.9,98.7,86.2,84.9,103,98.7,95,97.5
５人以上,令和元,2019,12月,96.5,97.7,99.8,94.6,99.6,96,98.7,100.1,93.7,96.3,87.2,86.6,99.8,96.7,100.6,95.3
５人以上,平成27,2015,年平均（前年比（％））,0.5,2.7,0.5,1,0.2,2.1,-0.5,-0.9,-0.5,-1.8,3.3,0.2,0.2,1.9,0.7,0.5
５人以上,平成28,2016,年平均（前年比（％））,-0.3,2.1,-0.1,1.5,-0.3,0.5,-0.9,0,0.7,-1,-3.3,-1.7,4.3,0.6,-0.4,-1.1
５人以上,平成29,2017,年平均（前年比（％））,-0.1,-1.1,0.7,1.2,0.6,-0.5,1,1.2,-0.4,1.2,-2,-4,-0.7,0,1.5,-1.1
５人以上,平成30,2018,年平均（前年比（％））,-1.2,-1,-0.3,-3.2,-1.1,-5.1,-0.9,0.9,-1.2,-0.5,-3.1,-3.7,2.2,0.8,-0.8,0.2
５人以上,平成31・令和元,2019,年平均（前年比（％））,-2.5,-4.1,-2.7,-4.2,-1.4,0.2,-1.5,-3.8,-3.3,-1.5,-6.7,-2.4,-4.2,-5.2,-4,-1.9
５人以上,平成31,2019,1月（前年同月比（％））,-2.9,-5.7,-3.9,-2.4,-3.5,-0.6,-2.6,-3.3,-1.1,0.7,-9,-0.7,-1,-6.4,-0.1,-0.3
５人以上,平成31,2019,2月（前年同月比（％））,-1.1,-2.8,-1.1,-0.7,0,3.3,-0.8,-1.6,-1.5,2.2,-6.8,3.1,1.8,-5.8,-3.8,-1
５人以上,平成31,2019,3月（前年同月比（％））,-2.6,-5.5,-3.4,-6.3,-2.2,1.7,-1.6,-4.4,-1,-0.7,-9.5,-3.8,-0.1,-6.8,-6.4,-0.5
５人以上,平成31,2019,4月（前年同月比（％））,-1.6,-0.4,-1.7,-9.9,0.2,0.9,-1.2,-3.3,-3.3,0,-8.7,-1,1.7,-5.5,0,-0.1
５人以上,令和元,2019,5月（前年同月比（％））,-4.9,-7.3,-6.2,-8.4,-2.9,-0.4,-3.8,-8.4,-4.5,-4.2,-9.5,-3.7,-3,-9.1,-8.8,-4.1
５人以上,令和元,2019,6月（前年同月比（％））,-4.7,-6.1,-3,ｘ,-3.5,-0.6,-2.5,-7.6,-3.4,-4.1,-10.1,-5.2,-9.1,-8.4,-7.2,-4.5
５人以上,令和元,2019,7月（前年同月比（％））,-0.6,-2.3,-1.3,ｘ,0.6,1,-0.2,0.6,-4.1,1.4,-3.7,0.9,-3.6,-2.9,-2.4,1.1
５人以上,令和元,2019,8月（前年同月比（％））,-3.7,-3.4,-1.7,-13.1,-3.1,-1.2,-2.9,-7.4,-6.5,-4.8,-5.1,-4.4,-8.8,-4.2,-9.3,-2.5
５人以上,令和元,2019,9月（前年同月比（％））,-1.3,-4,-2,4.2,-1,-1,0.3,-1.1,-3.3,-1.3,-4.6,-1.1,-5,-1.7,2.5,-0.4
５人以上,令和元,2019,10月（前年同月比（％））,-2.9,-6.1,-2.7,-5.2,-0.2,1.5,-0.8,-4.6,-4,0.3,-4.7,-3.8,-11.5,-6.4,-7.2,-3
５人以上,令和元,2019,11月（前年同月比（％））,-4.8,-4.8,-5.3,-5.5,-3.8,-3,-3.4,-6.6,-5.6,-6.7,-5.6,-6.1,-10.3,-4,-7.3,-5.4
５人以上,令和元,2019,12月（前年同月比（％））,0.1,-0.3,-0.2,2.8,2.6,0.8,0.8,2.9,-2.3,0,-2.8,-2.5,0.1,-1.2,4.2,-2.8
30人以上,平成26,2014,年平均,99.7,95.6,99.5,99.7,100,97.7,100.2,101,100.5,103,101.9,102.2,98.9,98.2,97.7,100
30人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成28,2016,年平均,99.8,102.5,99.8,101.2,100,100.1,98.5,100,100.3,99.6,100.6,100.3,103,97.9,99.8,99.2
30人以上,平成29,2017,年平均,100.1,101.8,100.7,102.7,100.9,100,100.7,100.7,102.5,100.4,98.7,96.9,103.3,96.8,98.5,98.2
30人以上,平成30,2018,年平均,100,100.1,100.3,98.4,99.9,95,100.8,101.5,101,100,101.2,92.9,107.9,101.5,100.7,98.6
30人以上,平成31・令和元,2019,年平均,97,94.8,98.7,93.5,99.1,94.1,97.3,98,98,98.8,93.2,85.6,103.2,95.9,96.2,96.2
30人以上,平成31,2019,1月,91.5,85.5,90.3,88.1,91.8,90.7,92.1,92.3,93,91.3,91.8,88.7,97.4,91.8,92.9,91.9
30人以上,平成31,2019,2月,94.5,94.3,97.2,92.2,96.6,93.1,94.2,93.2,94.9,97.9,90.4,84.2,105.5,91.3,90.7,92.9
30人以上,平成31,2019,3月,97.2,93.9,98.4,94.6,99.6,93.3,96.3,96.7,99.9,99.5,93.7,85.6,108.7,94.1,97.8,97.7
