規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,6042899,75377,83027,6036745,2109977,105175,77290,2136366
５人以上,"鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,建設業,345398,5078,4646,345830,14455,73,162,14366
５人以上,製造業,547607,4352,7055,544946,48800,573,539,48792
５人以上,電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,情報通信業,805596,9132,9059,806384,30393,1908,1205,30381
５人以上,"運輸業,郵便業",415295,5359,6793,413862,57972,4590,3039,59522
５人以上,"卸売業,小売業",1217318,15042,19501,1212893,470717,15892,11848,474727
５人以上,"金融業,保険業",385304,3939,4288,384952,20944,314,125,21136
５人以上,"不動産業,物品賃貸業",185470,2516,2502,185482,34948,814,1281,34483
５人以上,"学術研究,専門・技術サービス業",363701,2568,3914,362250,29381,1118,988,29616
５人以上,"宿泊業,飲食サービス業",136663,5027,2799,138883,538970,42188,26931,554235
５人以上,"生活関連サービス業,娯楽業",134192,1855,1353,134722,107147,6290,4759,108650
５人以上,"教育,学習支援業",241495,1096,1420,241170,178322,10354,7505,181172
５人以上,"医療,福祉",490919,6462,5100,492818,298215,10336,8054,299960
５人以上,複合サービス事業,29922,135,217,29841,8796,94,91,8798
５人以上,サービス業（他に分類されないもの）,716358,12741,14169,715186,270183,10631,10752,269806
30人以上,調査産業計,4565433,50409,62599,4553498,1140533,49971,38041,1152208
30人以上,"鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,建設業,223178,3328,2799,223707,5752,73,162,5663
30人以上,製造業,419320,3716,6074,416972,24668,346,285,24719
30人以上,電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,情報通信業,714269,7656,7343,714615,17420,418,398,17407
30人以上,"運輸業,郵便業",344111,4698,6202,342607,53466,4590,3039,55017
30人以上,"卸売業,小売業",831682,7179,13077,825817,225643,5392,3722,227280
30人以上,"金融業,保険業",318393,2666,3703,317352,16704,252,125,16835
30人以上,"不動産業,物品賃貸業",124848,1151,1454,124543,20779,466,322,20925
30人以上,"学術研究,専門・技術サービス業",263591,2052,2945,262698,17545,567,542,17570
30人以上,"宿泊業,飲食サービス業",67156,1250,1149,67248,154878,8451,7008,156330
30人以上,"生活関連サービス業,娯楽業",67614,458,459,67641,62508,3543,2157,63866
30人以上,"教育,学習支援業",198053,926,1012,197967,133556,8784,6301,136039
30人以上,"医療,福祉",357693,4310,2975,359048,158389,6876,3948,161297
30人以上,複合サービス事業,19495,65,117,19444,5380,35,57,5357
30人以上,サービス業（他に分類されないもの）,591152,10927,13079,589144,243159,10178,9964,243229
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年６月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
